1,0,0,0;-1,-1,-1,-1;1,1,-1,-1
1,0,0,0;-1,-1,-1,0;3,3,3,1
1,0,0,0;-1,-1,-1,1;0,-1,1,1
1,0,0,0;-1,-1,1,1;1,-1,1,0
1,0,0,0;-1,-14,29,-33;30,-55,-44,2
1,0,0,0;-1,-2,-2,-1;0,0,2,2
1,0,0,0;-1,-2,0,-1;1,0,2,2
1,0,0,0;-1,-3,-2,0;1,-3,-1,-2
1,0,0,0;-1,0,-1,2;1,0,-2,2
1,0,0,0;-1,0,-2,5;1,4,-3,3
1,0,0,0;-1,0,0,-1;1,0,0,0
1,0,0,0;-1,0,1,1;1,-1,-1,-1
1,0,0,0;-1,0,3,-1;3,-2,1,1
1,0,0,0;-1,1,-1,0;1,0,-1,0
1,0,0,0;-1,1,0,-2;0,1,-3,1
1,0,0,0;-1,1,0,0;-1,0,-3,3
1,0,0,0;-1,1,0,0;-1,0,0,-1
1,0,0,0;-1,1,0,0;1,-1,0,-1
1,0,0,0;-1,2,-1,0;1,1,-1,0
1,0,0,0;-1,2,-1,3;3,-1,1,-1
1,0,0,0;-1,2,-2,-2;1,0,0,-2
1,0,0,0;-1,2,-2,2;1,0,-3,0
1,0,0,0;-1,2,0,0;2,1,-1,2
1,0,0,0;-1,3,-1,2;1,-3,0,-1
1,0,0,0;-1,3,1,4;-1,0,3,-1
1,0,0,0;-11,-60,58,54;3,-53,-37,-52
1,0,0,0;-2,-1,-1,1;2,2,2,-2
1,0,0,0;-2,-2,-2,0;1,0,1,2
1,0,0,0;-2,-2,0,2;-2,0,2,0
1,0,0,0;-2,-2,1,2;0,-2,-1,0
1,0,0,0;-2,0,-1,-2;1,1,0,-1
1,0,0,0;-2,1,2,1;3,2,2,0
1,0,0,0;-2,2,-2,1;-2,0,0,-1
1,0,0,0;-2,2,1,1;2,-2,2,-2
1,0,0,0;-2,4,0,-5;5,-5,-2,-3
1,0,0,0;-28,-45,10,49;-30,-7,-1,-49
1,0,0,0;-3,-2,-3,-4;-2,-3,-3,-1
1,0,0,0;-3,-2,1,-1;2,3,-2,0
1,0,0,0;-3,-3,0,-1;1,0,3,-1
1,0,0,0;-3,0,2,1;-3,3,1,1
1,0,0,0;-3,1,-3,0;3,0,1,-3
1,0,0,0;-3,1,0,-3;1,-3,1,0
1,0,0,0;-3,1,0,0;3,0,-1,-2
1,0,0,0;-38,-25,33,10;-57,-37,41,54
1,0,0,0;-39,-46,17,-5;-30,25,-4,10
1,0,0,0;-4,-3,-2,-3;-4,-1,1,-4
1,0,0,0;-4,-5,-5,3;4,3,4,2
1,0,0,0;-4,0,1,2;1,3,0,1
1,0,0,0;-4,1,3,2;5,-2,-4,1
1,0,0,0;-4,3,-5,0;-4,5,1,4
1,0,0,0;-41,54,-56,19;-1,57,36,14
1,0,0,0;-49,-10,11,-22;0,-6,59,-51
1,0,0,0;-5,-4,-2,4;5,0,0,-4
