1,0,0,0;-1,-1,-1,0;-1,1,-1,1;1,0,0,-1
1,0,0,0;-1,-1,-2,-2;-1,2,0,1;1,2,2,1
1,0,0,0;-1,-1,0,0;1,0,-1,0;1,0,1,0
1,0,0,0;-1,-1,1,-1;-1,1,0,1;0,0,1,0
1,0,0,0;-1,-1,1,0;1,0,0,1;0,-1,1,-1
1,0,0,0;-1,-1,2,-2;0,-1,-2,0;-1,1,-2,-2
1,0,0,0;-1,-1,3,2;-1,3,0,-1;1,1,-2,-3
1,0,0,0;-1,-2,-2,2;-1,1,0,1;1,-1,-1,0
1,0,0,0;-1,-2,0,2;-1,0,-2,2;2,-2,-2,-1
1,0,0,0;-1,-28,58,36;24,-15,45,-59;37,47,-41,-5
1,0,0,0;-1,-3,-3,3;-4,-1,-5,2;1,5,-2,3
1,0,0,0;-1,-3,3,3;2,2,3,-3;3,-2,2,3
1,0,0,0;-1,-5,3,0;-4,-1,5,4;-5,3,3,2
1,0,0,0;-1,0,-1,0;0,1,1,0;1,0,0,1
1,0,0,0;-1,0,0,-1;-1,1,-1,-1;-1,-1,-1,-1
1,0,0,0;-1,0,0,1;-1,1,0,1;-1,0,0,1
1,0,0,0;-1,0,1,-1;1,0,0,1;1,0,0,0
1,0,0,0;-1,0,1,1;0,-1,0,0;1,1,-1,0
1,0,0,0;-1,1,-1,0;-1,0,0,0;1,0,-1,-1
1,0,0,0;-1,1,-1,1;0,1,0,1;0,1,0,1
1,0,0,0;-1,1,0,-1;-1,1,1,1;0,-1,0,-1
1,0,0,0;-1,1,0,0;0,1,-1,1;-1,-1,0,0
1,0,0,0;-1,1,1,-1;0,1,1,0;1,0,1,-1
1,0,0,0;-1,1,2,-2;0,2,-2,2;1,-2,0,-2
1,0,0,0;-1,18,11,8;4,-16,-2,3;4,5,-3,-17
1,0,0,0;-1,18,14,9;4,-18,-4,6;4,6,-6,-16
1,0,0,0;-1,19,12,7;2,-16,-3,6;6,6,-3,-17
1,0,0,0;-1,2,-1,-1;2,-2,2,0;4,2,-2,0
1,0,0,0;-1,2,-2,-2;2,0,-1,-1;1,0,-1,-2
1,0,0,0;-1,2,1,-1;2,-1,-2,0;-2,-2,2,-1
1,0,0,0;-1,2,3,3;-3,3,0,0;-1,-1,-2,-3
1,0,0,0;-1,20,11,9;3,-17,-2,3;4,2,-3,-17
1,0,0,0;-1,21,10,8;3,-16,-5,2;3,5,-2,-16
1,0,0,0;-1,21,14,9;2,-16,-6,6;5,3,-3,-18
1,0,0,0;-1,22,14,7;3,-14,-6,4;6,2,-6,-16
1,0,0,0;-1,3,1,1;2,-2,-1,2;2,2,-3,-6
1,0,0,0;-1,3,4,4;1,-2,-2,2;-1,3,-1,-5
1,0,0,0;-1,318,192,128;65,-256,-62,62;63,62,-65,-258
1,0,0,0;-1,319,190,130;64,-254,-65,66;63,64,-65,-257
1,0,0,0;-1,319,193,129;62,-255,-63,63;65,63,-63,-257
1,0,0,0;-1,320,192,130;62,-257,-64,63;62,63,-66,-255
1,0,0,0;-1,321,190,127;63,-254,-63,66;63,65,-66,-256
1,0,0,0;-1,321,194,128;63,-255,-65,66;65,62,-62,-255
1,0,0,0;-1,322,192,130;64,-255,-64,62;66,63,-66,-254
1,0,0,0;-1,4,-1,-3;4,-4,0,0;-3,-1,-1,-1
1,0,0,0;-1,4,2,0;1,-4,-3,-1;2,1,-1,-3
1,0,0,0;-1,4,4,0;3,-3,0,0;1,2,-1,-5
1,0,0,0;-1,5,1,2;-1,-4,-3,2;1,0,0,-2
1,0,0,0;-1,5,4,1;1,-4,-2,2;1,1,-1,-5
1,0,0,0;-1,6,1,4;1,-2,-1,3;1,3,-3,-3
1,0,0,0;-1,6,3,2;1,-3,-1,0;0,-1,0,-4
1,0,0,0;-1,7,3,1;-1,-6,1,2;-1,3,-1,-4
1,0,0,0;-1,78,46,31;17,-62,-15,15;18,14,-17,-62
1,0,0,0;-1,79,47,30;16,-66,-15,16;15,15,-16,-65
1,0,0,0;-1,80,46,34;15,-62,-14,14;15,14,-15,-62
1,0,0,0;-1,80,50,30;18,-64,-17,16;15,18,-17,-66
1,0,0,0;-1,81,50,30;17,-66,-14,14;18,17,-14,-65
1,0,0,0;-1,82,49,31;18,-64,-18,15;14,15,-16,-66
1,0,0,0;-11,11,-54,32;51,22,42,-8;8,34,49,-22
1,0,0,0;-14,-46,-60,-30;-58,33,59,-10;38,44,-29,-40
1,0,0,0;-18,-14,-20,-30;35,36,-15,43;43,49,-3,-41
1,0,0,0;-2,-1,-1,1;3,3,-3,1;5,-2,2,-3
1,0,0,0;-2,-1,1,-3;2,3,2,-1;2,-3,-3,0
1,0,0,0;-2,-2,-1,1;-2,1,1,-2;-1,-1,-2,1
1,0,0,0;-2,-2,0,-1;-1,0,0,2;2,0,-2,-1
1,0,0,0;-2,-2,1,-2;2,1,1,0;1,-1,-1,0
1,0,0,0;-2,-2,3,3;0,2,-3,-1;-2,3,0,1
1,0,0,0;-2,-4,5,-4;-3,5,-5,-5;1,1,1,5
1,0,0,0;-2,0,-2,1;-2,1,2,0;-2,2,0,0
1,0,0,0;-2,0,1,-2;-1,-1,1,1;2,2,1,2
1,0,0,0;-2,0,2,1;0,2,0,-1;2,0,2,1
1,0,0,0;-2,1,-1,2;-2,2,1,0;-1,-2,1,0
1,0,0,0;-2,1,0,-2;2,-2,-1,-1;-2,-2,0,0
1,0,0,0;-2,1,2,0;-1,2,0,0;1,1,2,-2
