1,0,0,0;-23,-90,43,22;72,-37,-17,-2;-4,4,-79,25
1,0,0,0;-28,-38,96,65;91,27,7,-1;-53,64,79,52
1,0,0,0;-41,-19,67,20;64,9,-35,6;-54,-25,98,1
1,0,0,0;-54,18,67,24;-48,-83,41,-61;45,76,34,36
1,0,0,0;-7,-11,-1,-111;-40,-49,32,51;-65,84,9,54
1,0,0,0;1,0,-24,16;-70,97,3,17;-75,43,79,-34
1,0,0,0;1,14,-21,-7;8,10,-15,-5;1,16,-24,-8
1,0,0,0;1,5,10,15;1,2,4,6;8,7,14,21
1,0,0,0;21,-1,3,2;665,-36,-54,-18;252,-663,-221,-442
1,0,0,0;23,68,63,-47;-64,-55,82,-46;43,-86,-46,7
1,0,0,0;238,33,-99,66;4,-7,-21,-14;435,74,-37,0
1,0,0,0;265,78,-26,0;98,-46,23,-69;154,-15,10,-5
1,0,0,0;29,-106,-12,-9;-106,31,32,29;-6,32,-34,31
1,0,0,0;3,-10,-15,5;8,-14,-21,7;4,-14,-21,7
1,0,0,0;3,-5,-10,15;4,-7,-14,21;5,-2,-4,6
1,0,0,0;33,12,8,-38;-26,11,-16,-3;78,-14,-80,19
1,0,0,0;35,-13,9,34;67,-76,-30,72;91,-45,8,63
1,0,0,0;37,81,-78,29;-73,-28,-32,73;-82,-44,-20,-45
1,0,0,0;4,-2,-2,-3;-71,-32,45,91;-35,-77,17,60
1,0,0,0;4,-21,7,14;2,3,-9,-6;1,4,-12,-8
1,0,0,0;4,78,3,-1;-23,8,76,22;93,-10,-14,-23
1,0,0,0;5,-12,6,-18;1,6,-4,-2;1,15,-10,-5
1,0,0,0;5,14,21,14;2,15,10,-5;2,21,14,-7
1,0,0,0;5,3,2,1;12,69,-17,-71;-15,-96,53,19
1,0,0,0;5,8,12,-4;4,-13,107,-68;71,63,-56,-65
1,0,0,0;64,-64,-1,51;22,-20,19,20;25,-89,81,7
1,0,0,0;7,-5,15,10;2,-7,21,14;4,-5,15,10
1,0,0,0;7,24,-8,-16;1,9,-3,-6;5,6,-2,-4
1,0,0,0;70,-68,-7,-77;-56,-62,-28,-45;-5,89,49,20
1,0,0,0;78,51,-78,38;-76,25,66,38;52,4,-15,99
1,0,0,0;8,5,10,15;5,6,12,18;1,3,6,9
1,0,0,0;8,6,-9,-3;5,4,-6,-2;8,14,-21,-7
1,0,0,0;88,36,-49,66;107,-28,32,-54;-62,31,-51,53
