census n=4 ensemble=axis shard=a0  (23185 already recorded) -> census_n4_axis_a0.jsonl
   50 recorded, 0 unevaluable, 542.2/min
   100 recorded, 0 unevaluable, 568.1/min
   150 recorded, 0 unevaluable, 564.8/min
   200 recorded, 0 unevaluable, 580.5/min
   250 recorded, 0 unevaluable, 576.5/min
   300 recorded, 0 unevaluable, 578.2/min
   350 recorded, 0 unevaluable, 579.5/min
   400 recorded, 0 unevaluable, 566.9/min
   450 recorded, 0 unevaluable, 562.9/min
   500 recorded, 0 unevaluable, 558.2/min
   550 recorded, 0 unevaluable, 560.5/min
   600 recorded, 0 unevaluable, 564.0/min
   650 recorded, 0 unevaluable, 566.7/min
   700 recorded, 0 unevaluable, 570.0/min
   750 recorded, 0 unevaluable, 571.7/min
   800 recorded, 0 unevaluable, 572.7/min
   850 recorded, 0 unevaluable, 575.4/min
   900 recorded, 0 unevaluable, 578.7/min
   950 recorded, 0 unevaluable, 578.6/min
   1000 recorded, 0 unevaluable, 577.9/min
   1050 recorded, 0 unevaluable, 573.5/min
   1100 recorded, 0 unevaluable, 570.9/min
   1150 recorded, 0 unevaluable, 566.7/min
   1200 recorded, 0 unevaluable, 565.9/min
   1250 recorded, 0 unevaluable, 566.9/min
   1300 recorded, 0 unevaluable, 556.3/min
   1350 recorded, 0 unevaluable, 541.2/min
   1400 recorded, 0 unevaluable, 536.2/min
   1450 recorded, 0 unevaluable, 532.7/min
   1500 recorded, 0 unevaluable, 530.7/min
   1550 recorded, 0 unevaluable, 519.5/min
   1600 recorded, 0 unevaluable, 518.1/min
   1650 recorded, 0 unevaluable, 513.9/min
   1700 recorded, 0 unevaluable, 512.7/min
   1750 recorded, 0 unevaluable, 513.3/min
   1800 recorded, 0 unevaluable, 512.7/min
   1850 recorded, 0 unevaluable, 509.3/min
   1900 recorded, 0 unevaluable, 506.4/min
   1950 recorded, 0 unevaluable, 506.0/min
   2000 recorded, 0 unevaluable, 506.4/min
   2050 recorded, 0 unevaluable, 507.6/min
   2100 recorded, 0 unevaluable, 507.7/min
   2150 recorded, 0 unevaluable, 507.0/min
   2200 recorded, 0 unevaluable, 507.1/min
   2250 recorded, 0 unevaluable, 507.6/min
   2300 recorded, 0 unevaluable, 508.4/min
   2350 recorded, 0 unevaluable, 509.7/min
   2400 recorded, 0 unevaluable, 508.3/min
   2450 recorded, 0 unevaluable, 509.1/min
   2500 recorded, 0 unevaluable, 509.5/min
   2550 recorded, 0 unevaluable, 509.9/min
   2600 recorded, 0 unevaluable, 510.5/min
   2650 recorded, 0 unevaluable, 508.2/min
   2700 recorded, 0 unevaluable, 507.2/min
   2750 recorded, 0 unevaluable, 507.6/min
   2800 recorded, 0 unevaluable, 509.3/min
   2850 recorded, 0 unevaluable, 508.3/min
   2900 recorded, 0 unevaluable, 508.1/min
   2950 recorded, 0 unevaluable, 508.3/min
   3000 recorded, 0 unevaluable, 508.0/min
   3050 recorded, 0 unevaluable, 505.0/min
   3100 recorded, 0 unevaluable, 503.9/min
   3150 recorded, 0 unevaluable, 502.7/min
   3200 recorded, 0 unevaluable, 502.3/min
   3250 recorded, 0 unevaluable, 503.2/min
   3300 recorded, 0 unevaluable, 504.7/min
   3350 recorded, 0 unevaluable, 505.4/min
   3400 recorded, 0 unevaluable, 505.6/min
   3450 recorded, 0 unevaluable, 504.5/min
   3500 recorded, 0 unevaluable, 504.5/min
   3550 recorded, 0 unevaluable, 503.8/min
   3600 recorded, 0 unevaluable, 502.5/min
   3650 recorded, 0 unevaluable, 502.5/min
   3700 recorded, 0 unevaluable, 502.3/min
   3750 recorded, 0 unevaluable, 502.6/min
   3800 recorded, 0 unevaluable, 503.0/min
   3850 recorded, 0 unevaluable, 503.8/min
   3900 recorded, 0 unevaluable, 504.0/min
   3950 recorded, 0 unevaluable, 504.4/min
   4000 recorded, 0 unevaluable, 504.3/min
   4050 recorded, 0 unevaluable, 505.0/min
   4100 recorded, 0 unevaluable, 504.9/min
   4150 recorded, 0 unevaluable, 505.5/min
   4200 recorded, 0 unevaluable, 504.9/min
   4250 recorded, 0 unevaluable, 504.6/min
   4300 recorded, 0 unevaluable, 505.0/min
   4350 recorded, 0 unevaluable, 504.0/min
   4400 recorded, 0 unevaluable, 504.1/min
   4450 recorded, 0 unevaluable, 504.1/min
   4500 recorded, 0 unevaluable, 504.4/min
   4550 recorded, 0 unevaluable, 505.0/min
   4600 recorded, 0 unevaluable, 504.1/min
