census n=4 ensemble=mixed shard=a0  (0 already recorded) -> census_n4_mixed_a0.jsonl
   50 recorded, 0 unevaluable, 311.3/min
   100 recorded, 0 unevaluable, 336.4/min
   150 recorded, 0 unevaluable, 381.4/min
   200 recorded, 0 unevaluable, 386.7/min
   250 recorded, 1 unevaluable, 406.8/min
   300 recorded, 1 unevaluable, 420.2/min
   350 recorded, 1 unevaluable, 432.9/min
   400 recorded, 1 unevaluable, 446.4/min
   450 recorded, 1 unevaluable, 450.5/min
   500 recorded, 1 unevaluable, 456.5/min
   550 recorded, 1 unevaluable, 464.6/min
   600 recorded, 1 unevaluable, 470.8/min
   650 recorded, 1 unevaluable, 476.4/min
   700 recorded, 1 unevaluable, 480.0/min
   750 recorded, 1 unevaluable, 482.1/min
   800 recorded, 1 unevaluable, 486.6/min
   850 recorded, 1 unevaluable, 486.4/min
   900 recorded, 1 unevaluable, 486.3/min
   950 recorded, 2 unevaluable, 489.4/min
   1000 recorded, 2 unevaluable, 487.8/min
   1050 recorded, 2 unevaluable, 488.5/min
   1100 recorded, 2 unevaluable, 487.0/min
   1150 recorded, 2 unevaluable, 485.7/min
   1200 recorded, 2 unevaluable, 485.0/min
   1250 recorded, 2 unevaluable, 478.0/min
   1300 recorded, 2 unevaluable, 475.5/min
   1350 recorded, 2 unevaluable, 475.3/min
   1400 recorded, 2 unevaluable, 473.6/min
   1450 recorded, 2 unevaluable, 473.7/min
   1500 recorded, 2 unevaluable, 473.0/min
   1550 recorded, 2 unevaluable, 474.2/min
   1600 recorded, 2 unevaluable, 473.6/min
   1650 recorded, 2 unevaluable, 472.9/min
   1700 recorded, 2 unevaluable, 468.2/min
   1750 recorded, 2 unevaluable, 467.5/min
   1800 recorded, 2 unevaluable, 466.6/min
   1850 recorded, 2 unevaluable, 466.6/min
   1900 recorded, 2 unevaluable, 466.9/min
   1950 recorded, 2 unevaluable, 465.7/min
   2000 recorded, 2 unevaluable, 465.1/min
   2050 recorded, 2 unevaluable, 467.0/min
   2100 recorded, 3 unevaluable, 467.6/min
   2150 recorded, 3 unevaluable, 468.9/min
   2200 recorded, 4 unevaluable, 469.9/min
   2250 recorded, 4 unevaluable, 471.1/min
   2300 recorded, 4 unevaluable, 473.0/min
