census n=4 ensemble=threeaxis shard=a0  (0 already recorded) -> census_n4_threeaxis_a0.jsonl
   50 recorded, 0 unevaluable, 333.3/min
   100 recorded, 0 unevaluable, 354.9/min
   150 recorded, 0 unevaluable, 405.1/min
   200 recorded, 0 unevaluable, 414.9/min
   250 recorded, 0 unevaluable, 440.6/min
   300 recorded, 0 unevaluable, 454.9/min
   350 recorded, 0 unevaluable, 468.2/min
   400 recorded, 0 unevaluable, 478.0/min
   450 recorded, 0 unevaluable, 490.9/min
   500 recorded, 0 unevaluable, 494.3/min
   550 recorded, 0 unevaluable, 500.0/min
   600 recorded, 0 unevaluable, 508.0/min
   650 recorded, 0 unevaluable, 514.9/min
   700 recorded, 0 unevaluable, 520.8/min
   750 recorded, 0 unevaluable, 527.1/min
   800 recorded, 0 unevaluable, 525.2/min
   850 recorded, 0 unevaluable, 530.4/min
   900 recorded, 0 unevaluable, 532.2/min
   950 recorded, 0 unevaluable, 530.6/min
   1000 recorded, 0 unevaluable, 532.9/min
   1050 recorded, 0 unevaluable, 535.0/min
   1100 recorded, 0 unevaluable, 534.8/min
   1150 recorded, 0 unevaluable, 535.2/min
   1200 recorded, 0 unevaluable, 534.6/min
   1250 recorded, 0 unevaluable, 531.6/min
   1300 recorded, 0 unevaluable, 532.0/min
   1350 recorded, 0 unevaluable, 524.5/min
   1400 recorded, 0 unevaluable, 521.7/min
   1450 recorded, 0 unevaluable, 519.0/min
   1500 recorded, 0 unevaluable, 518.2/min
   1550 recorded, 0 unevaluable, 517.0/min
   1600 recorded, 1 unevaluable, 516.7/min
   1650 recorded, 1 unevaluable, 517.0/min
   1700 recorded, 2 unevaluable, 516.5/min
   1750 recorded, 2 unevaluable, 517.0/min
   1800 recorded, 2 unevaluable, 516.5/min
   1850 recorded, 2 unevaluable, 511.8/min
   1900 recorded, 2 unevaluable, 510.0/min
   1950 recorded, 2 unevaluable, 508.7/min
   2000 recorded, 2 unevaluable, 510.5/min
   2050 recorded, 2 unevaluable, 509.0/min
   2100 recorded, 2 unevaluable, 507.8/min
   2150 recorded, 2 unevaluable, 508.3/min
   2200 recorded, 2 unevaluable, 508.1/min
   2250 recorded, 2 unevaluable, 509.7/min
   2300 recorded, 2 unevaluable, 510.2/min
   2350 recorded, 2 unevaluable, 512.0/min
   2400 recorded, 2 unevaluable, 513.5/min
   2450 recorded, 2 unevaluable, 514.9/min
   2500 recorded, 2 unevaluable, 516.4/min
