1,0,0,0;-1,1,-1,0;0,1,0,0;1,1,1,0;0,0,1,-1
1,0,0,0;-1,21,14,10;6,-18,-2,2;6,5,-3,-16;10,2,14,-2
1,0,0,0;-1,4,3,4;2,-3,-2,2;3,1,-2,-6;2,1,3,2
1,0,0,0;-1,7,3,1;0,-4,-3,0;0,1,-1,-5;3,-1,1,1
1,0,0,0;-2,1,-2,2;2,-2,1,-1;1,1,-1,1;2,2,2,-2
1,0,0,0;-2,2,0,-2;-1,-1,1,0;-1,-2,1,2;-2,-1,-1,0
1,0,0,0;-2,22,14,8;4,-16,-5,3;6,5,-3,-18;7,6,13,-1
1,0,0,0;-2,80,46,32;17,-65,-17,17;18,14,-14,-65;33,18,49,1
1,0,0,0;-26,-42,60,51;-51,-37,32,-16;26,-54,-45,-21;-19,-37,14,-45
1,0,0,0;-3,1,-1,2;-3,3,-3,0;0,-2,-2,2;-2,2,0,2
1,0,0,0;-4,3,-1,2;5,-4,0,-4;5,-3,-4,5;1,5,2,-4
1,0,0,0;-5,-3,3,1;-4,4,1,-3;0,3,-3,-1;-2,4,0,-5
1,0,0,0;-52,0,44,56;-59,-54,3,-56;-12,-52,-6,57;-40,-42,-52,-34
1,0,0,0;0,-1,-2,0;2,1,-2,-3;-1,3,-1,-3;-1,2,0,1
1,0,0,0;0,-3,1,-3;-3,-2,1,-1;-3,3,-3,2;-2,1,-2,2
1,0,0,0;0,0,1,0;0,-1,1,1;-1,1,0,0;-1,0,0,-1
1,0,0,0;0,18,11,9;2,-16,-5,5;6,4,-3,-14;6,3,10,1
1,0,0,0;0,20,14,9;4,-16,-6,6;3,2,-3,-16;7,6,12,1
1,0,0,0;0,5,3,4;1,-4,-2,2;2,3,-1,-4;0,3,2,-2
1,0,0,0;0,80,48,34;15,-64,-15,14;16,14,-16,-64;34,15,49,-1
1,0,0,0;1,-1,0,-1;1,-1,0,-1;1,-1,1,-1;-1,1,1,1
1,0,0,0;1,-2,5,-4;2,-2,-5,3;1,3,2,-3;-1,0,-1,1
1,0,0,0;1,1,0,-1;-2,2,-2,1;-1,-1,2,-2;-2,2,1,1
1,0,0,0;1,19,13,9;3,-16,-6,5;4,3,-4,-14;6,3,13,-2
1,0,0,0;1,21,12,6;3,-16,-2,2;5,4,-3,-17;10,3,14,2
1,0,0,0;1,4,3,1;3,-6,-1,2;0,2,1,-4;4,1,1,1
1,0,0,0;1,79,49,31;15,-65,-17,16;17,17,-17,-64;31,15,50,0
1,0,0,0;12,-1,-53,-49;-20,3,21,1;-53,22,-42,-57;-25,8,-4,-54
1,0,0,0;2,-1,3,-2;-2,-2,1,2;-2,2,-3,2;-3,-3,-1,-1
1,0,0,0;2,0,2,1;-1,1,2,-2;2,-2,2,1;-2,2,-2,2
1,0,0,0;2,18,13,7;2,-14,-5,3;6,6,-5,-15;10,6,10,1
1,0,0,0;2,3,1,-1;-1,1,3,2;3,-2,0,2;-1,1,-3,0
1,0,0,0;2,78,46,34;15,-63,-17,14;17,18,-17,-64;32,14,46,1
1,0,0,0;2,80,48,31;18,-62,-18,16;15,17,-18,-62;32,14,46,-1
1,0,0,0;3,-2,4,-5;5,5,-2,-4;-3,-2,2,4;1,0,0,-4
1,0,0,0;3,0,0,-1;-1,3,-1,2;-2,0,0,1;3,2,-3,2
1,0,0,0;3,3,1,3;3,3,-2,0;0,2,-1,0;3,-2,-1,-2
1,0,0,0;4,-6,0,0;1,2,0,0;3,0,0,-1;4,0,0,6
1,0,0,0;4,2,5,0;2,1,-4,-4;-3,4,-4,-3;5,5,-3,-3
1,0,0,0;5,-5,5,-3;1,2,4,-4;2,0,1,4;4,1,-1,2
1,0,0,0;5,1,4,-4;-4,-4,3,-3;-4,3,4,2;-5,-1,-2,-1
1,0,0,0;58,-35,22,-33;28,46,-3,42;-22,25,57,-44;27,-29,42,33
1,0,0,0;6,0,0,5;3,-5,0,0;1,0,-4,0;3,0,0,-4
