1,0,0,0;-1,-1,-1,-1;1,1,-1,-1;1,0,0,1;0,-1,1,0
1,0,0,0;-1,-1,-1,0;1,0,1,-1;1,1,1,-1;0,0,-1,1
1,0,0,0;-1,-1,-2,-1;-1,-1,0,-2;2,-2,-1,1;-2,-2,0,1
1,0,0,0;-1,-1,-2,0;0,0,-1,2;1,-2,1,2;-2,2,2,0
1,0,0,0;-1,-1,0,0;1,0,-1,-1;1,1,-1,0;-1,1,0,0
1,0,0,0;-1,-1,1,1;1,-1,1,0;0,1,1,1;1,-1,1,-1
1,0,0,0;-1,-2,2,1;-3,2,-1,0;2,3,2,-1;-1,-2,-2,-1
1,0,0,0;-1,-3,1,-3;0,1,1,0;3,2,0,-1;3,3,-3,-3
1,0,0,0;-1,-4,4,-3;-1,3,-1,3;-2,0,4,3;3,-3,4,-2
1,0,0,0;-1,0,0,-1;-2,-1,-1,0;2,-2,3,3;-3,3,-3,0
1,0,0,0;-1,0,0,-1;1,1,-1,1;-1,0,1,0;0,-1,0,0
1,0,0,0;-1,0,1,1;1,-1,-1,-1;-1,0,0,-1;1,0,0,0
1,0,0,0;-1,0,1,1;2,0,-2,-1;1,2,-2,0;-1,-2,-2,-1
1,0,0,0;-1,1,-1,0;-1,-1,0,0;0,-1,0,0;1,1,0,1
1,0,0,0;-1,1,-1,0;0,1,0,0;1,1,1,0;0,0,1,-1
1,0,0,0;-1,1,-1,0;1,0,-1,0;0,-1,-1,0;1,0,-1,-1
1,0,0,0;-1,1,0,0;1,-1,0,-1;-1,-1,-1,1;0,-1,1,1
1,0,0,0;-1,19,11,6;2,-14,-4,4;2,3,-6,-16;8,6,12,1
1,0,0,0;-1,2,1,-2;1,1,2,2;-1,2,-1,2;-1,2,-1,2
1,0,0,0;-1,21,14,10;6,-18,-2,2;6,5,-3,-16;10,2,14,-2
1,0,0,0;-1,22,10,9;3,-15,-4,3;2,2,-2,-15;9,3,10,1
1,0,0,0;-1,22,14,8;5,-15,-2,6;2,2,-3,-15;9,5,13,2
1,0,0,0;-1,3,4,4;0,-4,-1,2;1,2,0,-5;0,0,1,-2
1,0,0,0;-1,4,1,0;2,-2,-3,1;-1,0,1,-4;0,1,2,0
1,0,0,0;-1,4,3,4;2,-3,-2,2;3,1,-2,-6;2,1,3,2
1,0,0,0;-1,4,4,3;-1,-3,-1,3;2,3,-3,-5;4,3,5,0
1,0,0,0;-1,5,3,4;-1,-3,-1,-1;3,2,-2,-4;0,1,4,0
1,0,0,0;-1,6,2,1;0,-5,-1,3;2,3,-1,-4;3,1,3,2
1,0,0,0;-1,6,5,3;0,-2,0,0;3,1,-2,-3;1,-1,5,0
1,0,0,0;-1,7,3,1;0,-4,-3,0;0,1,-1,-5;3,-1,1,1
1,0,0,0;-1,82,50,30;17,-63,-16,14;15,14,-15,-65;33,17,49,-2
1,0,0,0;-2,-1,-2,0;0,1,-1,-1;-3,0,-1,2;-3,-1,2,-2
1,0,0,0;-2,-2,-1,2;-2,-1,1,1;-2,0,1,-2;2,0,-2,-1
1,0,0,0;-2,0,1,-2;1,1,2,-1;-1,1,-2,-2;-1,2,0,0
1,0,0,0;-2,1,-2,2;2,-2,1,-1;1,1,-1,1;2,2,2,-2
1,0,0,0;-2,1,-5,2;4,-4,-4,-2;-5,-3,-4,1;1,-4,0,1
1,0,0,0;-2,1,2,1;-1,-2,1,2;-2,-2,2,-2;-1,0,1,1
1,0,0,0;-2,18,12,10;2,-17,-2,5;6,4,-3,-17;6,4,10,0
1,0,0,0;-2,19,11,6;5,-17,-4,6;6,2,-3,-18;9,4,14,-2
1,0,0,0;-2,2,0,-2;-1,-1,1,0;-1,-2,1,2;-2,-1,-1,0
1,0,0,0;-2,2,0,2;-1,-2,1,-2;-2,-2,2,2;2,2,1,-1
1,0,0,0;-2,20,13,10;6,-14,-6,2;4,6,-2,-18;6,6,11,-1
1,0,0,0;-2,21,12,8;6,-16,-5,4;2,5,-3,-15;8,5,12,1
1,0,0,0;-2,22,10,7;4,-17,-6,4;2,4,-5,-16;6,5,11,2
1,0,0,0;-2,22,14,8;4,-16,-5,3;6,5,-3,-18;7,6,13,-1
1,0,0,0;-2,4,5,3;2,-6,-1,1;2,3,0,-4;2,1,3,-1
1,0,0,0;-2,5,1,3;1,-6,0,2;3,1,0,-4;2,-1,1,-2
1,0,0,0;-2,6,1,3;2,-6,0,2;1,1,0,-4;1,0,4,-1
1,0,0,0;-2,7,5,3;3,-3,-3,1;-1,2,0,-3;3,-1,2,2
1,0,0,0;-2,80,46,32;17,-65,-17,17;18,14,-14,-65;33,18,49,1
1,0,0,0;-2,81,46,34;18,-66,-17,16;16,16,-17,-64;31,18,47,1
1,0,0,0;-2,82,46,31;16,-64,-16,15;14,14,-17,-66;33,18,47,2
1,0,0,0;-2,82,49,34;18,-62,-14,16;15,14,-14,-65;30,14,46,0
1,0,0,0;-25,7,6,9;44,12,-4,37;42,7,-27,-49;-50,23,-32,-58
1,0,0,0;-26,-42,60,51;-51,-37,32,-16;26,-54,-45,-21;-19,-37,14,-45
1,0,0,0;-27,48,19,11;-13,28,0,-28;19,35,-20,-39;-15,-42,53,14
1,0,0,0;-3,-1,3,-3;5,4,-1,3;3,-5,-3,4;-3,-5,-2,-3
1,0,0,0;-3,-2,3,-3;-1,1,-2,-3;-1,0,-2,2;0,0,1,-1
1,0,0,0;-3,-4,0,-1;4,3,-4,2;2,-4,4,3;3,-1,-5,-2
1,0,0,0;-3,1,-1,2;-3,3,-3,0;0,-2,-2,2;-2,2,0,2
1,0,0,0;-3,2,2,-2;-3,2,3,2;0,-2,2,-2;0,3,1,-1
1,0,0,0;-3,3,0,-1;0,3,-2,2;0,1,3,-2;0,-2,3,-1
1,0,0,0;-30,-43,29,26;-30,52,48,32;53,25,-2,-13;-13,33,-45,58
1,0,0,0;-32,-6,42,3;18,23,-52,-1;-57,-37,-17,-59;-39,-22,-55,-17
1,0,0,0;-4,3,-1,2;5,-4,0,-4;5,-3,-4,5;1,5,2,-4
1,0,0,0;-4,3,-2,3;-1,5,1,-2;-4,5,0,3;1,4,-3,-2
1,0,0,0;-4,37,14,-9;9,-54,-24,-40;-55,-38,-9,34;45,-33,-58,-57
1,0,0,0;-40,52,3,-32;59,-20,-17,-43;59,-43,-42,42;31,-20,-55,-36
1,0,0,0;-43,-7,41,25;40,-31,-17,41;-34,-12,56,-24;11,15,60,34
1,0,0,0;-5,-3,3,1;-4,4,1,-3;0,3,-3,-1;-2,4,0,-5
1,0,0,0;-5,0,-3,-4;2,2,3,1;-3,0,4,-2;-5,-1,-5,2
1,0,0,0;-5,1,-3,5;-3,-1,5,1;4,4,5,-5;-3,-2,1,2
1,0,0,0;-50,-25,42,-54;-30,14,46,-9;42,-55,-28,-36;55,21,4,-47
1,0,0,0;-51,57,-21,37;59,58,26,4;-37,-40,-18,21;12,-47,-23,1
1,0,0,0;-52,0,44,56;-59,-54,3,-56;-12,-52,-6,57;-40,-42,-52,-34
1,0,0,0;-58,5,24,-17;0,41,22,18;26,56,-9,59;60,22,50,-52
1,0,0,0;-6,-15,11,-53;-51,2,49,1;-41,-23,-20,47;25,4,4,-17
1,0,0,0;0,-1,-1,-1;1,-1,-1,-1;0,0,-1,1;1,-1,0,1
1,0,0,0;0,-1,-1,1;-1,0,-1,0;0,-1,-1,1;-1,-1,-1,-1
1,0,0,0;0,-1,-2,0;2,1,-2,-3;-1,3,-1,-3;-1,2,0,1
1,0,0,0;0,-1,0,-1;0,1,-1,1;1,0,0,1;-1,1,-1,-1
1,0,0,0;0,-1,0,2;-3,2,-2,-2;-1,-5,-2,0;0,2,-5,-3
1,0,0,0;0,-1,2,-4;2,-3,-2,4;3,3,3,-4;3,-1,-3,0
1,0,0,0;0,-3,-2,-2;3,3,0,1;3,1,3,-1;3,-3,2,-2
1,0,0,0;0,-3,1,-3;-3,-2,1,-1;-3,3,-3,2;-2,1,-2,2
1,0,0,0;0,0,-1,1;-1,0,1,0;0,1,-1,1;0,0,-1,1
1,0,0,0;0,0,-2,-1;1,-1,0,2;0,1,-1,1;-1,-1,-2,0
1,0,0,0;0,0,-2,0;2,-2,-2,1;0,2,1,0;1,-2,-1,-2
1,0,0,0;0,0,0,1;0,0,1,-1;1,-1,-1,-1;0,1,1,1
1,0,0,0;0,0,1,0;0,-1,1,1;-1,1,0,0;-1,0,0,-1
1,0,0,0;0,1,-2,-2;0,2,-2,-1;0,0,0,-1;1,2,-1,2
1,0,0,0;0,1,0,0;1,1,-1,-1;1,0,1,1;-1,-1,0,0
1,0,0,0;0,1,1,-1;-1,0,-1,0;0,1,1,1;1,1,-1,1
1,0,0,0;0,1,1,0;0,-1,-1,0;1,-1,1,1;0,1,0,0
1,0,0,0;0,18,11,9;2,-16,-5,5;6,4,-3,-14;6,3,10,1
1,0,0,0;0,18,12,6;5,-17,-3,5;3,5,-2,-17;9,2,12,1
1,0,0,0;0,19,14,9;4,-16,-2,4;3,5,-2,-15;6,3,13,-2
1,0,0,0;0,2,2,2;2,-1,1,-1;-2,1,1,-1;1,1,-1,-2
1,0,0,0;0,20,14,7;3,-17,-5,3;6,5,-6,-17;8,2,12,0
1,0,0,0;0,20,14,9;4,-16,-6,6;3,2,-3,-16;7,6,12,1
1,0,0,0;0,22,13,8;5,-17,-2,2;2,4,-2,-15;7,5,14,-2
1,0,0,0;0,3,-2,2;1,-1,3,0;1,-2,3,1;1,-2,-2,-3
1,0,0,0;0,4,3,1;2,-2,-3,0;-1,0,1,-6;0,1,3,-2
1,0,0,0;0,4,5,1;3,-3,-2,3;1,0,-2,-5;3,3,3,-1
1,0,0,0;0,5,3,4;1,-4,-2,2;2,3,-1,-4;0,3,2,-2
1,0,0,0;0,5,4,2;1,-4,-3,1;3,-1,-1,-4;1,0,2,-2
1,0,0,0;0,5,4,2;2,-6,-2,3;0,1,-2,-4;1,0,5,-2
1,0,0,0;0,78,49,30;15,-65,-14,18;18,14,-18,-64;30,15,49,-1
1,0,0,0;0,79,47,32;16,-66,-15,14;17,18,-18,-62;31,16,46,2
1,0,0,0;0,80,48,34;15,-64,-15,14;16,14,-16,-64;34,15,49,-1
1,0,0,0;0,81,47,34;18,-63,-18,16;17,18,-18,-66;34,16,47,0
1,0,0,0;0,82,48,33;16,-63,-18,16;18,14,-18,-63;31,16,48,-2
1,0,0,0;1,-1,-1,-1;-1,-1,1,-1;0,0,0,1;-1,1,-1,1
