1,0,0,0;-1,-1,-1,-1;-1,1,0,1;-1,1,1,0
1,0,0,0;-1,-1,-1,1;-1,1,1,-1;1,-1,1,0
1,0,0,0;-1,-1,0,0;-1,1,1,1;0,0,-1,1
1,0,0,0;-1,-1,0,1;-1,1,1,-1;-1,-1,1,0
1,0,0,0;-1,-1,1,0;-1,1,1,-1;1,0,1,-1
1,0,0,0;-1,-1,2,-1;-2,0,-2,-2;-2,-2,-2,-1
1,0,0,0;-1,-1,2,2;0,-1,2,0;1,2,2,2
1,0,0,0;-1,-2,-1,1;-2,-2,-2,2;1,2,0,-2
1,0,0,0;-1,-2,0,-2;1,2,-2,2;1,0,1,0
1,0,0,0;-1,-2,2,-2;2,-2,2,0;2,-1,-2,-1
1,0,0,0;-1,-3,-2,1;-3,0,2,-2;0,3,2,0
1,0,0,0;-1,-3,1,-2;3,5,1,4;5,5,-1,1
1,0,0,0;-1,-47,-43,40;52,36,11,11;-8,-2,-13,59
1,0,0,0;-1,0,-1,-1;1,1,0,1;1,1,-1,0
1,0,0,0;-1,0,-1,1;0,0,-1,1;0,0,0,1
1,0,0,0;-1,0,0,0;-2,0,0,-1;3,-2,-1,3
1,0,0,0;-1,0,0,1;1,1,0,0;0,1,1,0
1,0,0,0;-1,0,1,0;1,0,1,1;1,-1,1,1
1,0,0,0;-1,1,-1,-1;0,1,-1,-1;1,0,0,1
1,0,0,0;-1,1,-1,1;-1,0,-1,-1;-1,0,1,-1
1,0,0,0;-1,1,-4,1;1,2,3,5;2,4,-3,5
1,0,0,0;-1,1,0,0;-1,-1,1,1;-1,0,1,-1
1,0,0,0;-1,1,1,-1;0,1,0,1;1,-1,1,-1
1,0,0,0;-1,1,1,1;-1,0,-1,1;1,-1,1,-1
1,0,0,0;-1,18,11,10;3,-14,-2,5;5,4,-2,-15
1,0,0,0;-1,18,12,9;4,-15,-4,5;3,6,-3,-14
1,0,0,0;-1,19,11,7;2,-14,-3,5;2,4,-2,-15
1,0,0,0;-1,19,14,6;6,-17,-5,3;3,4,-2,-18
1,0,0,0;-1,2,-2,-1;2,-1,2,0;2,-2,-2,1
1,0,0,0;-1,2,0,-1;-2,0,0,2;1,2,-1,2
1,0,0,0;-1,2,2,2;1,0,-2,0;-2,-1,1,-2
1,0,0,0;-1,20,11,10;6,-16,-6,5;4,3,-4,-14
1,0,0,0;-1,20,14,8;5,-15,-5,6;6,4,-6,-14
1,0,0,0;-1,21,14,10;3,-17,-6,6;2,6,-4,-15
1,0,0,0;-1,22,12,9;3,-15,-5,4;6,3,-6,-17
1,0,0,0;-1,3,-3,0;2,1,3,4;5,4,1,1
1,0,0,0;-1,3,3,4;1,-4,-2,1;2,-1,-1,-3
1,0,0,0;-1,318,192,127;63,-255,-63,65;63,62,-62,-254
1,0,0,0;-1,319,190,128;62,-257,-64,62;66,63,-64,-256
1,0,0,0;-1,319,192,126;62,-258,-65,65;62,62,-63,-254
1,0,0,0;-1,320,190,128;64,-254,-65,65;64,62,-62,-255
1,0,0,0;-1,320,193,128;66,-254,-64,63;66,62,-63,-254
1,0,0,0;-1,321,192,129;64,-258,-64,63;65,64,-63,-257
1,0,0,0;-1,322,191,127;62,-257,-65,64;64,65,-66,-258
1,0,0,0;-1,322,194,130;66,-254,-65,64;65,65,-64,-256
1,0,0,0;-1,4,1,2;3,-3,0,2;3,1,-1,-5
1,0,0,0;-1,4,3,1;0,-6,-3,2;2,3,-3,-5
1,0,0,0;-1,5,-1,3;-2,3,-2,-4;4,2,2,-2
1,0,0,0;-1,5,2,1;3,-6,0,2;1,-1,1,-3
1,0,0,0;-1,6,1,2;-1,-5,-3,1;-1,2,0,-2
1,0,0,0;-1,6,2,4;3,-4,0,1;0,3,-3,-2
1,0,0,0;-1,7,1,2;3,-6,-1,-1;0,-1,0,-5
1,0,0,0;-1,7,5,1;-1,-4,-1,1;3,0,-1,-4
1,0,0,0;-1,78,49,30;15,-64,-18,17;18,18,-14,-65
1,0,0,0;-1,79,48,31;18,-65,-17,17;14,17,-17,-62
1,0,0,0;-1,80,49,30;18,-64,-17,17;18,18,-17,-66
1,0,0,0;-1,81,46,34;16,-62,-15,17;18,15,-15,-62
1,0,0,0;-1,82,48,30;14,-63,-14,17;14,17,-18,-65
1,0,0,0;-1,82,50,34;15,-65,-18,15;17,15,-18,-63
1,0,0,0;-13,-56,-59,60;36,-4,-27,-42;56,59,-12,-27
1,0,0,0;-15,-7,-53,59;-60,51,-52,51;-30,-56,-51,3
1,0,0,0;-19,46,26,20;-46,28,-16,-44;-34,57,44,-23
1,0,0,0;-2,-1,0,1;-1,-3,0,-1;-2,1,-3,-3
1,0,0,0;-2,-1,3,-3;0,1,0,-3;-1,-1,2,-2
1,0,0,0;-2,-2,-2,-3;-2,0,1,-2;0,2,1,-3
1,0,0,0;-2,-2,0,2;2,0,-1,0;-1,-1,0,-2
1,0,0,0;-2,-2,2,-1;0,-1,-1,0;-1,2,-1,0
1,0,0,0;-2,-3,4,1;3,-5,4,-1;-4,-2,4,-2
1,0,0,0;-2,0,-1,1;0,1,2,-3;0,-2,-3,0
1,0,0,0;-2,0,0,1;1,-2,-1,0;-1,-3,1,-1
1,0,0,0;-2,0,1,2;-2,-1,-1,2;0,-2,-1,-2
1,0,0,0;-2,0,3,3;2,-1,0,3;2,-1,-2,0
1,0,0,0;-2,1,-3,4;3,-3,2,-4;4,-5,-1,4
1,0,0,0;-2,1,1,-2;-2,0,1,1;0,-2,-2,-1
1,0,0,0;-2,18,10,9;2,-14,-5,6;3,6,-3,-17
1,0,0,0;-2,18,13,7;4,-16,-4,6;3,4,-2,-16
1,0,0,0;-2,19,13,6;3,-14,-6,5;2,6,-5,-14
1,0,0,0;-2,2,-1,0;2,-1,1,1;-2,-2,2,-1
1,0,0,0;-2,2,-5,1;-1,5,-2,2;-2,-3,-4,2
1,0,0,0;-2,2,1,0;-3,0,-1,-2;-1,3,-1,-1
1,0,0,0;-2,20,10,6;3,-15,-5,5;5,4,-2,-14
1,0,0,0;-2,20,13,6;6,-18,-6,3;3,5,-2,-14
1,0,0,0;-2,21,11,6;4,-18,-4,4;3,2,-6,-14
1,0,0,0;-2,21,13,8;3,-16,-6,4;2,4,-3,-14
1,0,0,0;-2,22,11,9;4,-17,-4,2;4,2,-4,-15
1,0,0,0;-2,22,14,10;2,-14,-3,2;2,6,-3,-17
1,0,0,0;-2,3,0,2;1,-3,3,-3;1,2,-1,2
1,0,0,0;-2,3,1,3;-1,-4,-3,1;-1,0,1,-5
1,0,0,0;-2,3,3,4;3,-6,-2,1;2,3,-2,-5
1,0,0,0;-2,318,191,128;65,-257,-65,66;63,63,-66,-257
1,0,0,0;-2,318,193,127;66,-255,-66,63;63,66,-65,-254
1,0,0,0;-2,319,190,129;65,-255,-64,63;62,62,-64,-254
1,0,0,0;-2,319,194,130;63,-254,-63,62;62,62,-64,-258
1,0,0,0;-2,320,192,129;64,-254,-62,66;63,66,-62,-256
1,0,0,0;-2,321,191,126;64,-255,-64,62;66,63,-65,-258
1,0,0,0;-2,321,193,128;63,-256,-65,63;64,63,-66,-258
1,0,0,0;-2,322,192,126;63,-258,-63,65;63,62,-63,-254
1,0,0,0;-2,4,4,0;1,-2,-2,-1;0,1,-1,-2
1,0,0,0;-2,5,1,0;2,-4,-2,3;3,2,0,-3
1,0,0,0;-2,5,4,0;1,-4,-1,3;-1,0,-3,-4
1,0,0,0;-2,6,2,3;1,-5,1,-1;0,-1,0,-4
1,0,0,0;-2,6,5,4;0,-4,-3,1;0,0,0,-6
1,0,0,0;-2,7,4,4;1,-4,-1,3;-1,1,-1,-5
1,0,0,0;-2,78,47,32;18,-63,-16,18;17,15,-14,-64
1,0,0,0;-2,79,46,30;17,-65,-15,18;16,17,-15,-66
1,0,0,0;-2,79,50,32;17,-63,-18,16;18,16,-15,-64
1,0,0,0;-2,80,46,32;18,-64,-18,16;18,14,-15,-62
1,0,0,0;-2,80,50,32;14,-63,-15,17;15,18,-16,-66
1,0,0,0;-2,81,47,31;16,-64,-18,17;14,16,-17,-66
1,0,0,0;-2,82,46,30;16,-65,-17,15;14,16,-17,-63
1,0,0,0;-2,82,50,32;16,-64,-18,14;15,18,-16,-63
1,0,0,0;-22,-33,-28,48;42,30,30,-4;0,-31,-5,-58
1,0,0,0;-25,14,45,8;0,-31,-51,9;-27,21,41,-17
1,0,0,0;-29,-28,10,-21;16,57,-5,24;-33,24,-21,-3
1,0,0,0;-3,-1,-2,0;0,-2,-1,-2;0,-1,-1,-3
1,0,0,0;-3,-2,-3,-2;-1,-2,0,-1;1,-3,-2,-3
1,0,0,0;-3,-3,-1,-2;3,3,-2,-2;3,-3,1,-2
1,0,0,0;-3,-4,4,3;-2,0,5,-2;-1,1,-1,2
1,0,0,0;-3,0,0,-4;2,-2,-3,4;-5,-1,3,-1
1,0,0,0;-3,1,-4,0;-4,5,3,0;3,3,3,5
1,0,0,0;-3,2,-3,5;3,2,4,0;-5,-3,1,-1
1,0,0,0;-3,3,-2,2;2,-3,3,0;-3,2,0,-1
1,0,0,0;-3,3,3,0;3,-1,4,5;0,2,-2,4
1,0,0,0;-3,5,-1,-3;5,5,4,5;-5,2,2,-3
1,0,0,0;-32,-48,-16,56;14,21,31,46;-22,25,53,58
1,0,0,0;-34,-28,18,-10;-6,-57,19,-15;9,-14,-46,45
1,0,0,0;-35,31,-18,1;50,-53,10,28;35,-7,47,14
1,0,0,0;-38,53,14,-50;34,35,55,31;48,3,-7,19
1,0,0,0;-4,-4,3,-5;2,-1,2,3;1,-3,2,5
1,0,0,0;-4,0,3,-4;-5,3,1,5;-3,-5,-4,4
1,0,0,0;-4,4,-4,2;2,0,0,-2;1,3,4,2
1,0,0,0;-40,16,-27,31;16,31,-5,-29;44,-33,-34,-43
1,0,0,0;-42,10,-27,-52;38,36,49,13;57,-13,-50,-15
1,0,0,0;-45,-12,-3,-11;56,-19,23,34;50,58,-23,-51
1,0,0,0;-49,-17,41,21;-9,50,23,-38;39,60,-30,6
1,0,0,0;-5,-12,35,-42;47,55,-39,5;40,33,16,-25
1,0,0,0;-5,-3,0,-5;1,1,0,-2;0,2,0,1
1,0,0,0;-5,0,-4,-1;-4,0,-4,3;4,-3,0,-3
1,0,0,0;-5,4,3,2;-1,-5,4,-1;3,-2,1,3
1,0,0,0;-51,-12,36,41;18,-21,39,-4;-6,23,-59,-46
1,0,0,0;-54,-31,-18,-7;15,13,2,16;-34,14,5,26
1,0,0,0;-56,44,-5,-39;-34,19,-29,-22;14,-55,-22,-37
1,0,0,0;-59,-47,3,-49;48,36,-33,12;-2,-53,45,27
1,0,0,0;-60,-27,36,-43;-45,41,-34,53;6,54,-46,26
1,0,0,0;-9,27,55,24;17,46,25,3;-34,54,21,32
1,0,0,0;0,-1,-1,-1;1,1,1,-2;1,0,-2,2
1,0,0,0;0,-1,-1,1;0,-2,-1,0;-3,-3,-2,-1
1,0,0,0;0,-1,0,-1;0,0,0,-1;1,-1,0,-1
1,0,0,0;0,-1,0,0;1,0,-1,0;1,1,1,-1
1,0,0,0;0,-1,0,1;1,1,-1,-1;1,1,0,0
1,0,0,0;0,-1,1,0;1,1,1,0;0,0,1,-1
1,0,0,0;0,-1,2,-2;-2,1,0,1;-1,-2,0,-1
1,0,0,0;0,-2,-1,3;-5,0,-5,-4;-3,1,0,5
1,0,0,0;0,-2,-4,3;0,-4,-3,-2;1,-5,-5,1
1,0,0,0;0,-2,1,1;1,1,-1,1;-2,0,0,0
1,0,0,0;0,-3,-3,-3;0,3,3,-3;2,-2,-2,1
1,0,0,0;0,-4,1,-5;4,-4,-1,0;3,-2,0,1
1,0,0,0;0,0,-1,-1;-1,-1,-1,-1;1,1,2,-2
1,0,0,0;0,0,-1,0;0,1,-1,0;1,-1,0,-1
1,0,0,0;0,0,-1,2;2,-2,2,2;-2,2,-2,-1
1,0,0,0;0,0,0,1;-1,-1,1,1;1,-1,-1,1
1,0,0,0;0,0,1,-1;-1,1,0,1;1,0,0,1
1,0,0,0;0,0,1,1;-1,0,0,-1;0,-1,1,0
1,0,0,0;0,0,1,1;1,1,0,0;1,-1,0,1
1,0,0,0;0,1,-1,-1;-2,2,-2,-1;2,0,0,-1
1,0,0,0;0,1,-1,0;0,-1,-1,0;1,0,1,1
1,0,0,0;0,1,-1,1;-1,1,1,-1;0,-1,1,-1
1,0,0,0;0,1,-2,-1;2,-2,-1,-2;1,-1,-2,2
1,0,0,0;0,1,0,-1;0,-1,-1,0;0,-1,1,1
1,0,0,0;0,1,0,1;-1,-1,-1,0;1,-1,-1,1
1,0,0,0;0,1,0,1;2,-3,1,3;3,3,2,-2
1,0,0,0;0,1,1,-1;1,0,0,0;0,-1,1,0
1,0,0,0;0,1,1,1;-2,-1,2,1;1,-1,2,0
1,0,0,0;0,1,2,0;-1,0,1,-2;1,2,2,-1
1,0,0,0;0,18,11,8;5,-18,-6,2;3,6,-3,-18
1,0,0,0;0,18,14,8;5,-16,-6,3;5,2,-4,-18
1,0,0,0;0,19,11,6;6,-14,-6,5;3,3,-5,-15
1,0,0,0;0,19,13,9;5,-18,-6,2;5,5,-3,-15
1,0,0,0;0,2,0,-1;0,2,2,0;0,2,0,2
1,0,0,0;0,2,2,0;2,-2,1,2;-1,0,0,2
1,0,0,0;0,20,13,10;6,-14,-3,4;2,5,-3,-15
1,0,0,0;0,21,12,8;4,-14,-6,5;2,2,-6,-17
1,0,0,0;0,22,11,8;3,-15,-6,2;2,4,-2,-15
1,0,0,0;0,22,13,7;6,-16,-2,3;6,3,-3,-17
1,0,0,0;0,3,-2,1;-2,-1,-3,1;-3,2,0,-2
1,0,0,0;0,3,2,3;0,-2,0,2;2,1,1,-5
1,0,0,0;0,3,4,4;2,-5,-1,1;3,3,-3,-5
1,0,0,0;0,318,191,127;65,-254,-62,65;66,62,-63,-255
1,0,0,0;0,318,194,126;66,-258,-63,63;63,64,-65,-258
1,0,0,0;0,319,191,127;62,-255,-63,65;65,66,-64,-257
1,0,0,0;0,319,193,128;66,-254,-65,63;66,66,-65,-258
1,0,0,0;0,320,194,130;66,-254,-65,62;66,62,-65,-255
1,0,0,0;0,321,193,129;62,-257,-63,66;62,63,-64,-256
1,0,0,0;0,322,190,129;65,-257,-62,63;62,62,-66,-257
1,0,0,0;0,322,192,130;64,-256,-63,65;65,65,-66,-258
1,0,0,0;0,322,194,130;64,-257,-64,64;62,65,-62,-255
1,0,0,0;0,4,3,3;0,-4,-3,0;0,-1,-3,-4
1,0,0,0;0,5,-2,4;-4,3,4,-1;4,5,-1,3
1,0,0,0;0,5,3,0;2,-3,-1,3;0,-1,0,-6
1,0,0,0;0,5,4,3;-1,-4,-2,1;-1,-1,0,-3
1,0,0,0;0,6,1,2;-1,-5,-2,1;1,0,-1,-5
1,0,0,0;0,6,5,0;0,-2,-1,3;3,0,-1,-4
1,0,0,0;0,7,2,0;3,-4,-1,1;3,-1,-1,-4
1,0,0,0;0,7,3,4;-1,-4,-3,0;1,-1,1,-2
1,0,0,0;0,78,47,32;18,-65,-17,14;15,14,-17,-66
1,0,0,0;0,78,50,30;17,-63,-16,18;17,14,-15,-64
1,0,0,0;0,79,48,31;15,-63,-17,18;16,14,-18,-66
1,0,0,0;0,79,50,30;17,-62,-15,18;18,18,-16,-63
