shard 3: 20000 rows, 0.0 h elapsed
shard 3: 40000 rows, 0.1 h elapsed
shard 3: 60000 rows, 0.1 h elapsed
shard 3: 80000 rows, 0.1 h elapsed
shard 3: 100000 rows, 0.2 h elapsed
shard 3: 120000 rows, 0.2 h elapsed
shard 3: 140000 rows, 0.2 h elapsed
shard 3: 160000 rows, 0.3 h elapsed
shard 3: 180000 rows, 0.3 h elapsed
shard 3: 200000 rows, 0.4 h elapsed
shard 3: 220000 rows, 0.4 h elapsed
shard 3: 240000 rows, 0.5 h elapsed
shard 3: 260000 rows, 0.5 h elapsed
shard 3: 280000 rows, 0.5 h elapsed
shard 3: 300000 rows, 0.6 h elapsed
shard 3: 320000 rows, 0.6 h elapsed
shard 3: 340000 rows, 0.7 h elapsed
shard 3: 360000 rows, 0.7 h elapsed
shard 3: 380000 rows, 0.8 h elapsed
shard 3: 400000 rows, 0.9 h elapsed
shard 3: 420000 rows, 0.9 h elapsed
shard 3: 440000 rows, 1.0 h elapsed
shard 3: 460000 rows, 1.1 h elapsed
shard 3: 480000 rows, 1.1 h elapsed
shard 3: 500000 rows, 1.2 h elapsed
shard 3: 520000 rows, 1.3 h elapsed
shard 3: 540000 rows, 1.3 h elapsed
shard 3: 560000 rows, 1.4 h elapsed
shard 3: 580000 rows, 1.4 h elapsed
shard 3: 600000 rows, 1.4 h elapsed
shard 3: 620000 rows, 1.5 h elapsed
shard 3: 640000 rows, 1.6 h elapsed
shard 3: 660000 rows, 1.6 h elapsed
shard 3: 680000 rows, 1.7 h elapsed
shard 3: 700000 rows, 1.7 h elapsed
shard 3: 720000 rows, 1.8 h elapsed
shard 3: 740000 rows, 1.9 h elapsed
shard 3: 760000 rows, 1.9 h elapsed
shard 3: 780000 rows, 2.0 h elapsed
shard 3 done: 783872 rows
