census n=4 ensemble=chain shard=a0  (0 already recorded) -> census_n4_chain_a0.jsonl
   50 recorded, 0 unevaluable, 290.3/min
   100 recorded, 0 unevaluable, 328.3/min
   150 recorded, 0 unevaluable, 370.4/min
   200 recorded, 0 unevaluable, 375.5/min
   250 recorded, 0 unevaluable, 392.3/min
   300 recorded, 0 unevaluable, 406.9/min
   350 recorded, 0 unevaluable, 417.6/min
   400 recorded, 0 unevaluable, 431.2/min
   450 recorded, 0 unevaluable, 433.6/min
   500 recorded, 0 unevaluable, 440.3/min
   550 recorded, 0 unevaluable, 447.2/min
   600 recorded, 0 unevaluable, 454.7/min
   650 recorded, 0 unevaluable, 459.9/min
   700 recorded, 0 unevaluable, 459.7/min
   750 recorded, 0 unevaluable, 465.0/min
   800 recorded, 0 unevaluable, 464.7/min
   850 recorded, 0 unevaluable, 465.8/min
   900 recorded, 1 unevaluable, 468.5/min
   950 recorded, 1 unevaluable, 467.6/min
   1000 recorded, 1 unevaluable, 467.9/min
   1050 recorded, 1 unevaluable, 468.3/min
   1100 recorded, 1 unevaluable, 465.6/min
   1150 recorded, 1 unevaluable, 464.8/min
   1200 recorded, 1 unevaluable, 457.5/min
   1250 recorded, 1 unevaluable, 455.1/min
   1300 recorded, 1 unevaluable, 453.7/min
   1350 recorded, 1 unevaluable, 453.0/min
   1400 recorded, 1 unevaluable, 454.0/min
   1450 recorded, 1 unevaluable, 453.4/min
   1500 recorded, 1 unevaluable, 452.9/min
   1550 recorded, 1 unevaluable, 452.2/min
   1600 recorded, 1 unevaluable, 448.1/min
   1650 recorded, 1 unevaluable, 446.8/min
   1700 recorded, 1 unevaluable, 446.0/min
   1750 recorded, 1 unevaluable, 447.2/min
   1800 recorded, 1 unevaluable, 445.9/min
   1850 recorded, 1 unevaluable, 445.0/min
   1900 recorded, 1 unevaluable, 444.7/min
   1950 recorded, 1 unevaluable, 445.7/min
   2000 recorded, 1 unevaluable, 446.4/min
   2050 recorded, 1 unevaluable, 447.9/min
   2100 recorded, 1 unevaluable, 449.2/min
   2150 recorded, 1 unevaluable, 450.3/min
   2200 recorded, 1 unevaluable, 452.2/min
