census n=4 ensemble=mixed shard=a0  (0 already recorded) -> census_n4_mixed_a0.jsonl
   50 recorded, 0 unevaluable, 311.3/min
   100 recorded, 0 unevaluable, 336.4/min
   150 recorded, 0 unevaluable, 381.4/min
   200 recorded, 0 unevaluable, 386.7/min
   250 recorded, 1 unevaluable, 406.8/min
   300 recorded, 1 unevaluable, 420.2/min
   350 recorded, 1 unevaluable, 432.9/min
   400 recorded, 1 unevaluable, 446.4/min
   450 recorded, 1 unevaluable, 450.5/min
   500 recorded, 1 unevaluable, 456.5/min
   550 recorded, 1 unevaluable, 464.6/min
   600 recorded, 1 unevaluable, 470.8/min
   650 recorded, 1 unevaluable, 476.4/min
   700 recorded, 1 unevaluable, 480.0/min
   750 recorded, 1 unevaluable, 482.1/min
   800 recorded, 1 unevaluable, 486.6/min
   850 recorded, 1 unevaluable, 486.4/min
   900 recorded, 1 unevaluable, 486.3/min
   950 recorded, 2 unevaluable, 489.4/min
   1000 recorded, 2 unevaluable, 487.8/min
   1050 recorded, 2 unevaluable, 488.5/min
   1100 recorded, 2 unevaluable, 487.0/min
   1150 recorded, 2 unevaluable, 485.7/min
   1200 recorded, 2 unevaluable, 485.0/min
   1250 recorded, 2 unevaluable, 478.0/min
   1300 recorded, 2 unevaluable, 475.5/min
   1350 recorded, 2 unevaluable, 475.3/min
   1400 recorded, 2 unevaluable, 473.6/min
   1450 recorded, 2 unevaluable, 473.7/min
   1500 recorded, 2 unevaluable, 473.0/min
   1550 recorded, 2 unevaluable, 474.2/min
   1600 recorded, 2 unevaluable, 473.6/min
   1650 recorded, 2 unevaluable, 472.9/min
   1700 recorded, 2 unevaluable, 468.2/min
   1750 recorded, 2 unevaluable, 467.5/min
   1800 recorded, 2 unevaluable, 466.6/min
   1850 recorded, 2 unevaluable, 466.6/min
   1900 recorded, 2 unevaluable, 466.9/min
   1950 recorded, 2 unevaluable, 465.7/min
   2000 recorded, 2 unevaluable, 465.1/min
   2050 recorded, 2 unevaluable, 467.0/min
   2100 recorded, 3 unevaluable, 467.6/min
   2150 recorded, 3 unevaluable, 468.9/min
   2200 recorded, 4 unevaluable, 469.9/min
   2250 recorded, 4 unevaluable, 471.1/min
   2300 recorded, 4 unevaluable, 473.0/min
   2350 recorded, 4 unevaluable, 473.0/min
   2400 recorded, 4 unevaluable, 473.6/min
   2450 recorded, 4 unevaluable, 473.9/min
   2500 recorded, 4 unevaluable, 474.5/min
   2550 recorded, 4 unevaluable, 474.2/min
   2600 recorded, 4 unevaluable, 473.2/min
   2650 recorded, 4 unevaluable, 472.0/min
   2700 recorded, 4 unevaluable, 470.0/min
   2750 recorded, 4 unevaluable, 468.9/min
   2800 recorded, 4 unevaluable, 466.5/min
   2850 recorded, 4 unevaluable, 462.0/min
   2900 recorded, 4 unevaluable, 459.8/min
   2950 recorded, 4 unevaluable, 458.0/min
   3000 recorded, 4 unevaluable, 456.8/min
   3050 recorded, 4 unevaluable, 456.9/min
   3100 recorded, 4 unevaluable, 456.8/min
   3150 recorded, 4 unevaluable, 456.9/min
   3200 recorded, 4 unevaluable, 456.8/min
   3250 recorded, 4 unevaluable, 456.9/min
   3300 recorded, 4 unevaluable, 457.3/min
   3350 recorded, 4 unevaluable, 457.2/min
   3400 recorded, 4 unevaluable, 457.8/min
   3450 recorded, 4 unevaluable, 457.8/min
   3500 recorded, 4 unevaluable, 458.0/min
   3550 recorded, 4 unevaluable, 458.5/min
   3600 recorded, 4 unevaluable, 458.6/min
   3650 recorded, 4 unevaluable, 459.3/min
   3700 recorded, 4 unevaluable, 459.5/min
   3750 recorded, 4 unevaluable, 459.3/min
   3800 recorded, 4 unevaluable, 459.7/min
   3850 recorded, 4 unevaluable, 458.8/min
   3900 recorded, 4 unevaluable, 458.9/min
   3950 recorded, 4 unevaluable, 459.1/min
   4000 recorded, 4 unevaluable, 458.7/min
   4050 recorded, 4 unevaluable, 458.4/min
   4100 recorded, 4 unevaluable, 459.2/min
   4150 recorded, 4 unevaluable, 459.3/min
   4200 recorded, 4 unevaluable, 459.6/min
   4250 recorded, 4 unevaluable, 459.8/min
   4300 recorded, 4 unevaluable, 459.0/min
   4350 recorded, 4 unevaluable, 458.6/min
   4400 recorded, 5 unevaluable, 458.8/min
   4450 recorded, 5 unevaluable, 459.1/min
   4500 recorded, 5 unevaluable, 459.5/min
   4550 recorded, 5 unevaluable, 460.1/min
   4600 recorded, 5 unevaluable, 460.0/min
   4650 recorded, 5 unevaluable, 460.1/min
   4700 recorded, 5 unevaluable, 460.7/min
   4750 recorded, 5 unevaluable, 461.1/min
   4800 recorded, 5 unevaluable, 462.1/min
   4850 recorded, 5 unevaluable, 461.7/min
   4900 recorded, 5 unevaluable, 462.4/min
   4950 recorded, 5 unevaluable, 463.2/min
   5000 recorded, 6 unevaluable, 463.8/min
   5050 recorded, 6 unevaluable, 464.5/min
   5100 recorded, 6 unevaluable, 464.9/min
   5150 recorded, 6 unevaluable, 465.8/min
   5200 recorded, 6 unevaluable, 466.6/min
   5250 recorded, 6 unevaluable, 467.3/min
   5300 recorded, 6 unevaluable, 468.1/min
   5350 recorded, 6 unevaluable, 469.2/min
   5400 recorded, 6 unevaluable, 469.3/min
   5450 recorded, 6 unevaluable, 470.1/min
   5500 recorded, 7 unevaluable, 470.7/min
   5550 recorded, 7 unevaluable, 471.4/min
   5600 recorded, 7 unevaluable, 472.0/min
   5650 recorded, 7 unevaluable, 472.5/min
   5700 recorded, 7 unevaluable, 473.2/min
   5750 recorded, 7 unevaluable, 473.4/min
   5800 recorded, 7 unevaluable, 473.9/min
   5850 recorded, 7 unevaluable, 474.3/min
   5900 recorded, 7 unevaluable, 474.9/min
   5950 recorded, 7 unevaluable, 475.5/min
   6000 recorded, 7 unevaluable, 476.2/min
   6050 recorded, 7 unevaluable, 476.8/min
   6100 recorded, 8 unevaluable, 477.4/min
   6150 recorded, 8 unevaluable, 478.1/min
   6200 recorded, 8 unevaluable, 478.9/min
   6250 recorded, 8 unevaluable, 479.5/min
