census n=4 ensemble=project shard=a0  (19034 already recorded) -> census_n4_project_a0.jsonl
   50 recorded, 0 unevaluable, 439.8/min
   100 recorded, 0 unevaluable, 473.7/min
   150 recorded, 0 unevaluable, 480.3/min
   200 recorded, 0 unevaluable, 479.4/min
   250 recorded, 0 unevaluable, 483.3/min
   300 recorded, 0 unevaluable, 475.4/min
   350 recorded, 0 unevaluable, 466.3/min
   400 recorded, 0 unevaluable, 464.5/min
   450 recorded, 0 unevaluable, 464.8/min
   500 recorded, 0 unevaluable, 469.3/min
   550 recorded, 0 unevaluable, 469.7/min
   600 recorded, 0 unevaluable, 473.5/min
   650 recorded, 0 unevaluable, 475.3/min
   700 recorded, 0 unevaluable, 477.3/min
   750 recorded, 0 unevaluable, 479.4/min
   800 recorded, 0 unevaluable, 480.8/min
   850 recorded, 0 unevaluable, 478.2/min
   900 recorded, 0 unevaluable, 474.0/min
   950 recorded, 0 unevaluable, 470.9/min
   1000 recorded, 0 unevaluable, 469.5/min
   1050 recorded, 0 unevaluable, 468.8/min
   1100 recorded, 0 unevaluable, 452.6/min
   1150 recorded, 0 unevaluable, 446.7/min
   1200 recorded, 0 unevaluable, 443.2/min
   1250 recorded, 0 unevaluable, 441.3/min
   1300 recorded, 0 unevaluable, 432.1/min
   1350 recorded, 0 unevaluable, 427.4/min
   1400 recorded, 0 unevaluable, 426.6/min
   1450 recorded, 0 unevaluable, 426.2/min
   1500 recorded, 0 unevaluable, 425.4/min
   1550 recorded, 0 unevaluable, 421.8/min
   1600 recorded, 0 unevaluable, 421.5/min
   1650 recorded, 0 unevaluable, 421.1/min
   1700 recorded, 0 unevaluable, 422.3/min
   1750 recorded, 0 unevaluable, 422.6/min
   1800 recorded, 0 unevaluable, 422.0/min
   1850 recorded, 0 unevaluable, 422.7/min
   1900 recorded, 0 unevaluable, 423.4/min
   1950 recorded, 0 unevaluable, 424.1/min
   2000 recorded, 0 unevaluable, 422.9/min
   2050 recorded, 0 unevaluable, 423.2/min
   2100 recorded, 0 unevaluable, 424.2/min
   2150 recorded, 0 unevaluable, 424.0/min
   2200 recorded, 0 unevaluable, 421.6/min
   2250 recorded, 0 unevaluable, 421.1/min
   2300 recorded, 0 unevaluable, 421.9/min
   2350 recorded, 0 unevaluable, 421.6/min
   2400 recorded, 0 unevaluable, 421.2/min
   2450 recorded, 0 unevaluable, 421.6/min
   2500 recorded, 0 unevaluable, 420.7/min
   2550 recorded, 0 unevaluable, 417.7/min
   2600 recorded, 0 unevaluable, 416.4/min
   2650 recorded, 0 unevaluable, 416.3/min
   2700 recorded, 0 unevaluable, 417.2/min
   2750 recorded, 0 unevaluable, 418.1/min
   2800 recorded, 0 unevaluable, 418.4/min
   2850 recorded, 0 unevaluable, 417.5/min
   2900 recorded, 0 unevaluable, 417.1/min
   2950 recorded, 0 unevaluable, 415.6/min
   3000 recorded, 0 unevaluable, 416.0/min
   3050 recorded, 0 unevaluable, 415.5/min
   3100 recorded, 0 unevaluable, 415.8/min
   3150 recorded, 0 unevaluable, 416.2/min
   3200 recorded, 0 unevaluable, 416.7/min
   3250 recorded, 0 unevaluable, 417.0/min
   3300 recorded, 0 unevaluable, 417.0/min
   3350 recorded, 0 unevaluable, 417.4/min
   3400 recorded, 0 unevaluable, 417.6/min
   3450 recorded, 0 unevaluable, 417.6/min
   3500 recorded, 0 unevaluable, 417.0/min
   3550 recorded, 0 unevaluable, 417.4/min
   3600 recorded, 0 unevaluable, 416.7/min
   3650 recorded, 0 unevaluable, 416.7/min
   3700 recorded, 0 unevaluable, 417.0/min
   3750 recorded, 0 unevaluable, 417.5/min
   3800 recorded, 0 unevaluable, 416.9/min
   3850 recorded, 0 unevaluable, 416.9/min
   3900 recorded, 0 unevaluable, 416.2/min
   3950 recorded, 0 unevaluable, 416.7/min
   4000 recorded, 0 unevaluable, 416.8/min
   4050 recorded, 0 unevaluable, 416.9/min
   4100 recorded, 0 unevaluable, 416.6/min
   4150 recorded, 0 unevaluable, 416.8/min
   4200 recorded, 0 unevaluable, 416.9/min
   4250 recorded, 0 unevaluable, 416.6/min
   4300 recorded, 0 unevaluable, 416.7/min
   4350 recorded, 0 unevaluable, 416.9/min
   4400 recorded, 0 unevaluable, 417.5/min
   4450 recorded, 0 unevaluable, 417.7/min
   4500 recorded, 0 unevaluable, 417.4/min
   4550 recorded, 0 unevaluable, 417.1/min
   4600 recorded, 0 unevaluable, 417.7/min
   4650 recorded, 0 unevaluable, 418.2/min
   4700 recorded, 0 unevaluable, 418.5/min
   4750 recorded, 0 unevaluable, 418.7/min
   4800 recorded, 0 unevaluable, 419.0/min
   4850 recorded, 0 unevaluable, 419.7/min
   4900 recorded, 0 unevaluable, 420.2/min
   4950 recorded, 0 unevaluable, 420.5/min
   5000 recorded, 0 unevaluable, 420.5/min
   5050 recorded, 0 unevaluable, 420.9/min
   5100 recorded, 0 unevaluable, 421.0/min
   5150 recorded, 0 unevaluable, 421.3/min
   5200 recorded, 0 unevaluable, 421.5/min
   5250 recorded, 0 unevaluable, 421.6/min
   5300 recorded, 0 unevaluable, 421.6/min
   5350 recorded, 0 unevaluable, 422.2/min
   5400 recorded, 0 unevaluable, 422.6/min
   5450 recorded, 0 unevaluable, 422.7/min
   5500 recorded, 0 unevaluable, 423.1/min
   5550 recorded, 0 unevaluable, 423.5/min
   5600 recorded, 0 unevaluable, 422.9/min
   5650 recorded, 0 unevaluable, 423.0/min
