[   50.9s] n=6 k=3 c=63    lin 1 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[   51.9s] n=6 k=3 c=47    lin 4 -> nonempty  4 dirs: 4 confirmed, 0 unevaluable, 0 changed; wraps [None, None, None, None]
[  178.2s] n=6 k=4 c=171   lin 3 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  186.3s] n=6 k=5 c=393   lin 1 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  187.3s] n=7 k=3 c=63    lin 1 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  243.6s] n=7 k=3 c=49    lin 3 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  248.0s] n=7 k=4 c=179   lin 1 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  301.7s] n=7 k=4 c=167   lin 2 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  634.5s] n=7 k=4 c=159   lin 4 -> nonempty  2 dirs: 2 confirmed, 0 unevaluable, 0 changed; wraps [None, None]
[  644.8s] n=7 k=5 c=393   lin 1 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  790.5s] n=7 k=5 c=383   lin 2 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 1234.5s] n=7 k=5 c=375   lin 4 -> nonempty  1 dirs: 0 confirmed, 0 unevaluable, 1 changed; wraps []
[ 1584.9s] n=7 k=5 c=359   lin 6 -> nonempty  15 dirs: 4 confirmed, 0 unevaluable, 11 changed; wraps [None, None, None, None]
[ 1631.1s] n=7 k=6 c=715   lin 3 -> nonempty  1 dirs: 0 confirmed, 0 unevaluable, 1 changed; wraps []
[ 1633.2s] n=8 k=3 c=63    lin 1 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 1692.0s] n=8 k=3 c=49    lin 3 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 1693.3s] n=8 k=3 c=37    lin 6 -> nonempty  6 dirs: 6 confirmed, 0 unevaluable, 0 changed; wraps [None, None, None, None]
[ 1885.2s] n=8 k=4 c=171   lin 3 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 2038.5s] n=8 k=4 c=163   lin 4 -> nonempty  3 dirs: 3 confirmed, 0 unevaluable, 0 changed; wraps [None, None, None]
[ 2151.7s] n=8 k=4 c=157   lin 4 -> nonempty  27 dirs: 22 confirmed, 0 unevaluable, 5 changed; wraps [None, None, None, None]
[ 2285.0s] n=8 k=4 c=151   lin 6 -> nonempty  50 dirs: 50 confirmed, 0 unevaluable, 0 changed; wraps [None, None, None, None]
[ 2289.5s] n=8 k=4 c=141   lin 8 -> nonempty  8 dirs: 8 confirmed, 0 unevaluable, 0 changed; wraps [None, None, None, None]
[ 2319.9s] n=8 k=5 c=385   lin 2 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 2352.2s] n=8 k=5 c=381   lin 2 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 2372.7s] n=8 k=5 c=371   lin 3 -> nonempty  1 dirs: 1 confirmed, 0 unevaluable, 0 changed; wraps [None]
[ 2405.0s] n=8 k=5 c=365   lin 5 -> nonempty  20 dirs: 4 confirmed, 0 unevaluable, 16 changed; wraps [None, None, None, None]
