[   80.5s] n=6 k=3 c=55    lin 3 -> nonempty  12 dirs: 12 confirmed, 0 unevaluable, 0 changed; wraps [None, None, None, None]
[   83.1s] n=6 k=4 c=183   lin 1 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  116.9s] n=6 k=4 c=167   lin 2 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  124.9s] n=6 k=5 c=385   lin 1 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  128.5s] n=7 k=3 c=57    lin 2 -> nonempty  1 dirs: 1 confirmed, 0 unevaluable, 0 changed; wraps [None]
[  129.3s] n=7 k=3 c=47    lin 4 -> nonempty  4 dirs: 4 confirmed, 0 unevaluable, 0 changed; wraps [None, None, None, None]
[  168.5s] n=7 k=4 c=173   lin 2 -> nonempty  2 dirs: 1 confirmed, 0 unevaluable, 1 changed; wraps [None]
[  398.3s] n=7 k=4 c=165   lin 3 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  549.0s] n=7 k=4 c=157   lin 5 -> nonempty  40 dirs: 8 confirmed, 0 unevaluable, 32 changed; wraps [None, None, None, None]
[  562.2s] n=7 k=5 c=385   lin 1 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  600.2s] n=7 k=5 c=381   lin 2 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  624.3s] n=7 k=5 c=371   lin 3 -> nonempty  1 dirs: 1 confirmed, 0 unevaluable, 0 changed; wraps [None]
[  642.7s] n=7 k=6 c=727   lin 1 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  697.5s] n=7 k=6 c=715   lin 3 -> nonempty  1 dirs: 1 confirmed, 0 unevaluable, 0 changed; wraps [None]
[  703.7s] n=8 k=3 c=57    lin 2 -> nonempty  1 dirs: 1 confirmed, 0 unevaluable, 0 changed; wraps [None]
[  704.9s] n=8 k=3 c=47    lin 4 -> nonempty  4 dirs: 4 confirmed, 0 unevaluable, 0 changed; wraps [None, None, None, None]
[  710.0s] n=8 k=4 c=183   lin 1 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  747.6s] n=8 k=4 c=169   lin 2 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  764.6s] n=8 k=4 c=161   lin 4 -> nonempty  15 dirs: 3 confirmed, 0 unevaluable, 12 changed; wraps [None, None, None]
[  916.8s] n=8 k=4 c=157   lin 5 -> nonempty  40 dirs: 8 confirmed, 0 unevaluable, 32 changed; wraps [None, None, None, None]
[ 1095.1s] n=8 k=4 c=147   lin 6 -> nonempty  41 dirs: 25 confirmed, 0 unevaluable, 16 changed; wraps [None, None, None, None]
[ 1105.1s] n=8 k=5 c=393   lin 1 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 1116.5s] n=8 k=5 c=383   lin 2 -> nonempty  1 dirs: 0 confirmed, 0 unevaluable, 1 changed; wraps []
[ 1748.4s] n=8 k=5 c=377   lin 3 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 1791.1s] n=8 k=5 c=369   lin 3 -> nonempty  1 dirs: 1 confirmed, 0 unevaluable, 0 changed; wraps [None]
[ 2279.2s] n=8 k=5 c=363   lin 5 -> nonempty  4 dirs: 4 confirmed, 0 unevaluable, 0 changed; wraps [None, None, None, None]
[ 2468.5s] n=8 k=5 c=357   lin 6 -> nonempty  2 dirs: 2 confirmed, 0 unevaluable, 0 changed; wraps [None, None]
