[   50.9s] n=6 k=3 c=53    lin 3 -> nonempty  3 dirs: 3 confirmed, 0 unevaluable, 0 changed; wraps [None, None, None]
[   54.5s] n=6 k=4 c=179   lin 1 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  226.8s] n=6 k=4 c=165   lin 3 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  337.4s] n=6 k=5 c=383   lin 2 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  384.6s] n=7 k=3 c=55    lin 3 -> nonempty  12 dirs: 12 confirmed, 0 unevaluable, 0 changed; wraps [None, None, None, None]
[  386.7s] n=7 k=3 c=43    lin 5 -> nonempty  5 dirs: 5 confirmed, 0 unevaluable, 0 changed; wraps [None, None, None, None]
[  591.2s] n=7 k=4 c=171   lin 3 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  780.4s] n=7 k=4 c=163   lin 4 -> nonempty  3 dirs: 3 confirmed, 0 unevaluable, 0 changed; wraps [None, None, None]
[  871.9s] n=7 k=4 c=153   lin 6 -> nonempty  60 dirs: 42 confirmed, 0 unevaluable, 18 changed; wraps [None, None, None, None]
[  905.3s] n=7 k=5 c=385   lin 2 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  938.1s] n=7 k=5 c=381   lin 2 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 1555.6s] n=7 k=5 c=369   lin 5 -> nonempty  4 dirs: 2 confirmed, 0 unevaluable, 2 changed; wraps [None, None]
[ 1593.6s] n=7 k=6 c=723   lin 2 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 1643.5s] n=7 k=6 c=713   lin 3 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 1690.1s] n=8 k=3 c=55    lin 3 -> nonempty  12 dirs: 12 confirmed, 0 unevaluable, 0 changed; wraps [None, None, None, None]
[ 1691.0s] n=8 k=3 c=44    lin 4 -> nonempty  4 dirs: 4 confirmed, 0 unevaluable, 0 changed; wraps [None, None, None, None]
[ 1695.3s] n=8 k=4 c=179   lin 1 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 1757.5s] n=8 k=4 c=167   lin 2 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 1774.5s] n=8 k=4 c=159   lin 3 -> nonempty  1 dirs: 1 confirmed, 0 unevaluable, 0 changed; wraps [None]
[ 1791.4s] n=8 k=4 c=155   lin 5 -> nonempty  20 dirs: 19 confirmed, 0 unevaluable, 1 changed; wraps [None, None, None, None]
[ 1860.2s] n=8 k=4 c=147   lin 6 -> nonempty  15 dirs: 15 confirmed, 0 unevaluable, 0 changed; wraps [None, None, None, None]
[ 1869.4s] n=8 k=5 c=387   lin 2 -> nonempty  1 dirs: 1 confirmed, 0 unevaluable, 0 changed; wraps [None]
[ 1980.5s] n=8 k=5 c=383   lin 2 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 2389.9s] n=8 k=5 c=375   lin 4 -> nonempty  1 dirs: 0 confirmed, 0 unevaluable, 1 changed; wraps []
