[  149.2s] n=6 k=3 c=49    lin 3 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  205.7s] n=6 k=4 c=173   lin 2 -> nonempty  2 dirs: 1 confirmed, 0 unevaluable, 1 changed; wraps [169]
[  470.4s] n=6 k=4 c=159   lin 4 -> nonempty  2 dirs: 2 confirmed, 0 unevaluable, 0 changed; wraps [159, 159]
[  911.8s] n=6 k=5 c=377   lin 3 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  974.5s] n=7 k=3 c=53    lin 3 -> nonempty  16 dirs: 16 confirmed, 0 unevaluable, 0 changed; wraps ['multi-cube', 'multi-cube', 'multi-cube', 'multi-cube']
[  977.6s] n=7 k=4 c=183   lin 1 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[  999.0s] n=7 k=4 c=169   lin 2 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 1008.9s] n=7 k=4 c=161   lin 4 -> nonempty  15 dirs: 3 confirmed, 0 unevaluable, 12 changed; wraps [57, 'multi-cube', 53]
[ 1062.8s] n=7 k=4 c=147   lin 6 -> nonempty  15 dirs: 15 confirmed, 0 unevaluable, 0 changed; wraps [167, 131, 141, 141]
[ 1071.3s] n=7 k=5 c=383   lin 2 -> nonempty  1 dirs: 0 confirmed, 0 unevaluable, 1 changed; wraps []
[ 1488.8s] n=7 k=5 c=377   lin 3 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 1909.1s] n=7 k=5 c=363   lin 5 -> nonempty  1 dirs: 1 confirmed, 0 unevaluable, 0 changed; wraps [383]
[ 1923.8s] n=7 k=6 c=717   lin 2 -> nonempty  1 dirs: 0 confirmed, 0 unevaluable, 1 changed; wraps []
[ 2582.7s] n=7 k=6 c=709   lin 4 -> nonempty  1 dirs: 0 confirmed, 0 unevaluable, 1 changed; wraps []
[ 2658.2s] n=8 k=3 c=53    lin 3 -> nonempty  16 dirs: 16 confirmed, 0 unevaluable, 0 changed; wraps ['multi-cube', 'multi-cube', 'multi-cube', 'multi-cube']
[ 2660.0s] n=8 k=3 c=43    lin 5 -> nonempty  5 dirs: 5 confirmed, 0 unevaluable, 0 changed; wraps [57, 57, 63, 63]
[ 2702.4s] n=8 k=4 c=173   lin 2 -> nonempty  2 dirs: 1 confirmed, 0 unevaluable, 1 changed; wraps [169]
[ 2907.0s] n=8 k=4 c=165   lin 3 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
