[   31.8s] n=6 k=3 c=63 CRASH GeneratorsNeeded
[   32.1s] n=6 k=3 c=47    lineality 4 -> nonempty  4 dirs, 4 confirmed
[  116.7s] n=6 k=4 c=171   lineality 3 -> empty     0 dirs, 0 confirmed
[  120.8s] n=6 k=5 c=393 CRASH GeneratorsNeeded
[  121.3s] n=7 k=3 c=63 CRASH GeneratorsNeeded
[  151.5s] n=7 k=3 c=49    lineality 3 -> empty     0 dirs, 0 confirmed
[  153.9s] n=7 k=4 c=179 CRASH GeneratorsNeeded
[  185.1s] n=7 k=4 c=167   lineality 2 -> empty     0 dirs, 0 confirmed
[  365.2s] n=7 k=4 c=159   lineality 4 -> nonempty  2 dirs, 2 confirmed
[  378.7s] n=7 k=5 c=393 CRASH GeneratorsNeeded
[  474.1s] n=7 k=5 c=383   lineality 2 -> empty     0 dirs, 0 confirmed
[  830.0s] n=7 k=5 c=375   lineality 4 -> nonempty  1 dirs, 0 confirmed
[  980.6s] n=7 k=5 c=359   lineality 6 -> nonempty  15 dirs, 4 confirmed
[ 1004.6s] n=7 k=6 c=715   lineality 3 -> nonempty  1 dirs, 0 confirmed
[ 1005.6s] n=8 k=3 c=63 CRASH GeneratorsNeeded
[ 1036.4s] n=8 k=3 c=49    lineality 3 -> empty     0 dirs, 0 confirmed
[ 1036.7s] n=8 k=3 c=37    lineality 6 -> nonempty  6 dirs, 6 confirmed
[ 1136.6s] n=8 k=4 c=171   lineality 3 -> empty     0 dirs, 0 confirmed
[ 1218.7s] n=8 k=4 c=163   lineality 4 -> nonempty  3 dirs, 3 confirmed
[ 1273.5s] n=8 k=4 c=157   lineality 4 -> nonempty  27 dirs, 22 confirmed
[ 1333.6s] n=8 k=4 c=151   lineality 6 -> nonempty  50 dirs, 50 confirmed
[ 1335.0s] n=8 k=4 c=141   lineality 8 -> nonempty  8 dirs, 8 confirmed
[ 1351.1s] n=8 k=5 c=385   lineality 2 -> empty     0 dirs, 0 confirmed
[ 1367.8s] n=8 k=5 c=381   lineality 2 -> empty     0 dirs, 0 confirmed
[ 1379.1s] n=8 k=5 c=371   lineality 3 -> nonempty  1 dirs, 1 confirmed
[ 1393.6s] n=8 k=5 c=365   lineality 5 -> nonempty  20 dirs, 4 confirmed
[ 1524.1s] n=8 k=5 c=359   lineality 6 -> nonempty  15 dirs, 4 confirmed
[ 1727.6s] n=8 k=5 c=353   lineality 7 -> nonempty  25 dirs, 11 confirmed
[ 1747.8s] n=8 k=6 c=723   lineality 2 -> empty     0 dirs, 0 confirmed
[ 1771.2s] n=8 k=6 c=715   lineality 2 -> empty     0 dirs, 0 confirmed
[ 1797.6s] n=8 k=6 c=713   lineality 3 -> empty     0 dirs, 0 confirmed
[ 1835.1s] n=8 k=6 c=707   lineality 3 -> empty     0 dirs, 0 confirmed
[ 2171.2s] n=8 k=6 c=697   lineality 6 -> nonempty  6 dirs, 4 confirmed
[ 2197.2s] n=8 k=7 c=1217  lineality 2 -> empty     0 dirs, 0 confirmed
[ 2247.1s] n=8 k=7 c=1201  lineality 4 -> nonempty  1 dirs, 1 confirmed
[ 2249.9s] n=9 k=3 c=57    lineality 2 -> nonempty  1 dirs, 1 confirmed
[ 2250.2s] n=9 k=3 c=47    lineality 4 -> nonempty  4 dirs, 3 confirmed
[ 2250.6s] n=9 k=3 c=40    lineality 4 -> nonempty  4 dirs, 4 confirmed
[ 2253.3s] n=9 k=4 c=179 CRASH GeneratorsNeeded
[ 2286.6s] n=9 k=4 c=167   lineality 2 -> empty     0 dirs, 0 confirmed
[ 2292.9s] n=9 k=4 c=159   lineality 3 -> nonempty  1 dirs, 1 confirmed
[ 2301.2s] n=9 k=4 c=155   lineality 5 -> nonempty  20 dirs, 19 confirmed
[ 2410.1s] n=9 k=4 c=151   lineality 6 -> nonempty  50 dirs, 16 confirmed
[ 2411.1s] n=9 k=4 c=145   lineality 7 -> nonempty  7 dirs, 6 confirmed
[ 2412.1s] n=9 k=4 c=135   lineality 9 -> nonempty  9 dirs, 6 confirmed
[ 2431.3s] n=9 k=5 c=385   lineality 2 -> empty     0 dirs, 0 confirmed
[ 2452.3s] n=9 k=5 c=381   lineality 2 -> empty     0 dirs, 0 confirmed
[ 2705.5s] n=9 k=5 c=375   lineality 4 -> nonempty  1 dirs, 0 confirmed
[ 2728.5s] n=9 k=5 c=369   lineality 3 -> nonempty  1 dirs, 1 confirmed
[ 2742.3s] n=9 k=5 c=367   lineality 4 -> nonempty  10 dirs, 10 confirmed
[ 3058.7s] n=9 k=5 c=363   lineality 5 -> nonempty  1 dirs, 1 confirmed
[ 3214.8s] n=9 k=5 c=359   lineality 6 -> nonempty  15 dirs, 4 confirmed
[ 3228.7s] n=9 k=5 c=355   lineality 5 -> nonempty  15 dirs, 15 confirmed
[ 3250.0s] n=9 k=5 c=351   lineality 6 -> nonempty  25 dirs, 24 confirmed
[ 3377.4s] n=9 k=5 c=347   lineality 8 -> nonempty  70 dirs, 12 confirmed
[ 3472.2s] n=9 k=5 c=343   lineality 7 -> nonempty  48 dirs, 28 confirmed
[ 3474.9s] n=9 k=5 c=335   lineality 10 -> nonempty  10 dirs, 10 confirmed
[ 3497.7s] n=9 k=6 c=723   lineality 2 -> empty     0 dirs, 0 confirmed
[ 3522.0s] n=9 k=6 c=715   lineality 2 -> empty     0 dirs, 0 confirmed
[ 3547.4s] n=9 k=6 c=713   lineality 3 -> nonempty  1 dirs, 0 confirmed
[ 3573.3s] n=9 k=6 c=709   lineality 3 -> nonempty  1 dirs, 0 confirmed
[ 3665.2s] n=9 k=6 c=707   lineality 3 -> nonempty  2 dirs, 2 confirmed
[ 3712.4s] n=9 k=6 c=707   lineality 3 -> empty     0 dirs, 0 confirmed
[ 3738.5s] n=9 k=6 c=703   lineality 4 -> nonempty  10 dirs, 10 confirmed
[ 3761.1s] n=9 k=6 c=699   lineality 4 -> nonempty  10 dirs, 2 confirmed
[ 3808.2s] n=9 k=6 c=695   lineality 4 -> nonempty  10 dirs, 3 confirmed
[ 3847.1s] n=9 k=6 c=693   lineality 4 -> nonempty  1 dirs, 1 confirmed
[ 3895.7s] n=9 k=6 c=689   lineality 5 -> nonempty  15 dirs, 2 confirmed
