candidates on the 9-plane corner-concurrence stratum: 124892
gate — sampled 200, off-stratum: 0 (must be 0)
  counted 400/124892, best (723, (-160, 1, 1, 1))
  counted 800/124892, best (723, (-160, 1, 1, 1))
  counted 1200/124892, best (723, (-160, 1, 1, 1))
  counted 1600/124892, best (723, (-160, 1, 1, 1))
  counted 2000/124892, best (723, (-160, 1, 1, 1))
  counted 2400/124892, best (723, (-160, 1, 1, 1))
  counted 2800/124892, best (723, (-160, 1, 1, 1))
  counted 3200/124892, best (723, (-160, 1, 1, 1))
  counted 3600/124892, best (723, (-160, 1, 1, 1))
  counted 4000/124892, best (723, (-160, 1, 1, 1))
  counted 4400/124892, best (723, (-160, 1, 1, 1))
  counted 4800/124892, best (723, (-160, 1, 1, 1))
  counted 5200/124892, best (723, (-160, 1, 1, 1))
  counted 5600/124892, best (723, (-160, 1, 1, 1))
  counted 6000/124892, best (723, (-160, 1, 1, 1))
  counted 6400/124892, best (723, (-160, 1, 1, 1))
  counted 6800/124892, best (723, (-160, 1, 1, 1))
  counted 7200/124892, best (723, (-160, 1, 1, 1))
  counted 7600/124892, best (723, (-160, 1, 1, 1))
  counted 8000/124892, best (723, (-160, 1, 1, 1))
  counted 8400/124892, best (723, (-160, 1, 1, 1))
  counted 8800/124892, best (723, (-160, 1, 1, 1))
  counted 9200/124892, best (723, (-160, 1, 1, 1))
  counted 9600/124892, best (723, (-160, 1, 1, 1))
  counted 10000/124892, best (723, (-160, 1, 1, 1))
  counted 10400/124892, best (723, (-160, 1, 1, 1))
  counted 10800/124892, best (723, (-160, 1, 1, 1))
  counted 11200/124892, best (723, (-160, 1, 1, 1))
  counted 11600/124892, best (723, (-160, 1, 1, 1))
  counted 12000/124892, best (723, (-160, 1, 1, 1))
  counted 12400/124892, best (723, (-160, 1, 1, 1))
  counted 12800/124892, best (723, (-160, 1, 1, 1))
  counted 13200/124892, best (723, (-160, 1, 1, 1))
  counted 13600/124892, best (723, (-160, 1, 1, 1))
  counted 14000/124892, best (723, (-160, 1, 1, 1))
  counted 14400/124892, best (723, (-160, 1, 1, 1))
  counted 14800/124892, best (723, (-160, 1, 1, 1))
  counted 15200/124892, best (723, (-160, 1, 1, 1))
  counted 15600/124892, best (723, (-160, 1, 1, 1))
  counted 16000/124892, best (723, (-160, 1, 1, 1))
  counted 16400/124892, best (723, (-160, 1, 1, 1))
  counted 16800/124892, best (723, (-160, 1, 1, 1))
  counted 17200/124892, best (723, (-160, 1, 1, 1))
  counted 17600/124892, best (723, (-160, 1, 1, 1))
  counted 18000/124892, best (723, (-160, 1, 1, 1))
  counted 18400/124892, best (723, (-160, 1, 1, 1))
  counted 18800/124892, best (723, (-160, 1, 1, 1))
  counted 19200/124892, best (723, (-160, 1, 1, 1))
  counted 19600/124892, best (723, (-160, 1, 1, 1))
  counted 20000/124892, best (723, (-160, 1, 1, 1))
  counted 20400/124892, best (723, (-160, 1, 1, 1))
  counted 20800/124892, best (723, (-160, 1, 1, 1))
  counted 21200/124892, best (723, (-160, 1, 1, 1))
  counted 21600/124892, best (723, (-160, 1, 1, 1))
  counted 22000/124892, best (723, (-160, 1, 1, 1))
  counted 22400/124892, best (723, (-160, 1, 1, 1))
  counted 22800/124892, best (723, (-160, 1, 1, 1))
  counted 23200/124892, best (723, (-160, 1, 1, 1))
  counted 23600/124892, best (723, (-160, 1, 1, 1))
  counted 24000/124892, best (723, (-160, 1, 1, 1))
  counted 24400/124892, best (723, (-160, 1, 1, 1))
  counted 24800/124892, best (723, (-160, 1, 1, 1))
  counted 25200/124892, best (723, (-160, 1, 1, 1))
  counted 25600/124892, best (723, (-160, 1, 1, 1))
  counted 26000/124892, best (723, (-160, 1, 1, 1))
  counted 26400/124892, best (723, (-160, 1, 1, 1))
  counted 26800/124892, best (723, (-160, 1, 1, 1))
  counted 27200/124892, best (723, (-160, 1, 1, 1))
  counted 27600/124892, best (723, (-160, 1, 1, 1))
  counted 28000/124892, best (723, (-160, 1, 1, 1))
  counted 28400/124892, best (723, (-160, 1, 1, 1))
  counted 28800/124892, best (723, (-160, 1, 1, 1))
  counted 29200/124892, best (723, (-160, 1, 1, 1))
  counted 29600/124892, best (723, (-160, 1, 1, 1))
  counted 30000/124892, best (723, (-160, 1, 1, 1))
  counted 30400/124892, best (723, (-160, 1, 1, 1))
  counted 30800/124892, best (723, (-160, 1, 1, 1))
  counted 31200/124892, best (723, (-160, 1, 1, 1))
  counted 31600/124892, best (723, (-160, 1, 1, 1))
  counted 32000/124892, best (723, (-160, 1, 1, 1))
  counted 32400/124892, best (723, (-160, 1, 1, 1))
  counted 32800/124892, best (723, (-160, 1, 1, 1))
  counted 33200/124892, best (723, (-160, 1, 1, 1))
  counted 33600/124892, best (723, (-160, 1, 1, 1))
  counted 34000/124892, best (723, (-160, 1, 1, 1))
  counted 34400/124892, best (723, (-160, 1, 1, 1))
  counted 34800/124892, best (723, (-160, 1, 1, 1))
  counted 35200/124892, best (723, (-160, 1, 1, 1))
  counted 35600/124892, best (723, (-160, 1, 1, 1))
  counted 36000/124892, best (723, (-160, 1, 1, 1))
  counted 36400/124892, best (723, (-160, 1, 1, 1))
  counted 36800/124892, best (723, (-160, 1, 1, 1))
  counted 37200/124892, best (723, (-160, 1, 1, 1))
  counted 37600/124892, best (723, (-160, 1, 1, 1))
  counted 38000/124892, best (723, (-160, 1, 1, 1))
  counted 38400/124892, best (723, (-160, 1, 1, 1))
  counted 38800/124892, best (723, (-160, 1, 1, 1))
  counted 39200/124892, best (723, (-160, 1, 1, 1))
  counted 39600/124892, best (723, (-160, 1, 1, 1))
  counted 40000/124892, best (723, (-160, 1, 1, 1))
  counted 40400/124892, best (723, (-160, 1, 1, 1))
  counted 40800/124892, best (723, (-160, 1, 1, 1))
  counted 41200/124892, best (723, (-160, 1, 1, 1))
  counted 41600/124892, best (723, (-160, 1, 1, 1))
  counted 42000/124892, best (723, (-160, 1, 1, 1))
  counted 42400/124892, best (723, (-160, 1, 1, 1))
  counted 42800/124892, best (723, (-160, 1, 1, 1))
  counted 43200/124892, best (723, (-160, 1, 1, 1))
  counted 43600/124892, best (723, (-160, 1, 1, 1))
  counted 44000/124892, best (723, (-160, 1, 1, 1))
  counted 44400/124892, best (723, (-160, 1, 1, 1))
  counted 44800/124892, best (723, (-160, 1, 1, 1))
  counted 45200/124892, best (723, (-160, 1, 1, 1))
  counted 45600/124892, best (723, (-160, 1, 1, 1))
  counted 46000/124892, best (723, (-160, 1, 1, 1))
  counted 46400/124892, best (723, (-160, 1, 1, 1))
  counted 46800/124892, best (723, (-160, 1, 1, 1))
  counted 47200/124892, best (723, (-160, 1, 1, 1))
  counted 47600/124892, best (723, (-160, 1, 1, 1))
  counted 48000/124892, best (723, (-160, 1, 1, 1))
  counted 48400/124892, best (723, (-160, 1, 1, 1))
  counted 48800/124892, best (723, (-160, 1, 1, 1))
  counted 49200/124892, best (723, (-160, 1, 1, 1))
  counted 49600/124892, best (723, (-160, 1, 1, 1))
  counted 50000/124892, best (723, (-160, 1, 1, 1))
  counted 50400/124892, best (723, (-160, 1, 1, 1))
  counted 50800/124892, best (723, (-160, 1, 1, 1))
  counted 51200/124892, best (723, (-160, 1, 1, 1))
  counted 51600/124892, best (723, (-160, 1, 1, 1))
  counted 52000/124892, best (723, (-160, 1, 1, 1))
  counted 52400/124892, best (723, (-160, 1, 1, 1))
  counted 52800/124892, best (723, (-160, 1, 1, 1))
  counted 53200/124892, best (723, (-160, 1, 1, 1))
  counted 53600/124892, best (723, (-160, 1, 1, 1))
  counted 54000/124892, best (723, (-160, 1, 1, 1))
  counted 54400/124892, best (723, (-160, 1, 1, 1))
  counted 54800/124892, best (723, (-160, 1, 1, 1))
  counted 55200/124892, best (723, (-160, 1, 1, 1))
  counted 55600/124892, best (723, (-160, 1, 1, 1))
  counted 56000/124892, best (723, (-160, 1, 1, 1))
  counted 56400/124892, best (723, (-160, 1, 1, 1))
  counted 56800/124892, best (723, (-160, 1, 1, 1))
  counted 57200/124892, best (723, (-160, 1, 1, 1))
  counted 57600/124892, best (723, (-160, 1, 1, 1))
  counted 58000/124892, best (723, (-160, 1, 1, 1))
  counted 58400/124892, best (723, (-160, 1, 1, 1))
  counted 58800/124892, best (723, (-160, 1, 1, 1))
  counted 59200/124892, best (723, (-160, 1, 1, 1))
  counted 59600/124892, best (723, (-160, 1, 1, 1))
  counted 60000/124892, best (723, (-160, 1, 1, 1))
  counted 60400/124892, best (723, (-160, 1, 1, 1))
  counted 60800/124892, best (723, (-160, 1, 1, 1))
  counted 61200/124892, best (723, (-160, 1, 1, 1))
  counted 61600/124892, best (723, (-160, 1, 1, 1))
  counted 62000/124892, best (723, (-160, 1, 1, 1))
  counted 62400/124892, best (723, (-160, 1, 1, 1))
  counted 62800/124892, best (723, (-160, 1, 1, 1))
  counted 63200/124892, best (723, (-160, 1, 1, 1))
  counted 63600/124892, best (723, (-160, 1, 1, 1))
  counted 64000/124892, best (723, (-160, 1, 1, 1))
  counted 64400/124892, best (723, (-160, 1, 1, 1))
  counted 64800/124892, best (723, (-160, 1, 1, 1))
  counted 65200/124892, best (723, (-160, 1, 1, 1))
  counted 65600/124892, best (723, (-160, 1, 1, 1))
  counted 66000/124892, best (723, (-160, 1, 1, 1))
  counted 66400/124892, best (723, (-160, 1, 1, 1))
  counted 66800/124892, best (723, (-160, 1, 1, 1))
  counted 67200/124892, best (723, (-160, 1, 1, 1))
  counted 67600/124892, best (723, (-160, 1, 1, 1))
  counted 68000/124892, best (723, (-160, 1, 1, 1))
  counted 68400/124892, best (723, (-160, 1, 1, 1))
  counted 68800/124892, best (723, (-160, 1, 1, 1))
  counted 69200/124892, best (723, (-160, 1, 1, 1))
  counted 69600/124892, best (723, (-160, 1, 1, 1))
  counted 70000/124892, best (723, (-160, 1, 1, 1))
  counted 70400/124892, best (723, (-160, 1, 1, 1))
  counted 70800/124892, best (723, (-160, 1, 1, 1))
  counted 71200/124892, best (723, (-160, 1, 1, 1))
  counted 71600/124892, best (723, (-160, 1, 1, 1))
  counted 72000/124892, best (723, (-160, 1, 1, 1))
  counted 72400/124892, best (723, (-160, 1, 1, 1))
  counted 72800/124892, best (723, (-160, 1, 1, 1))
  counted 73200/124892, best (723, (-160, 1, 1, 1))
  counted 73600/124892, best (723, (-160, 1, 1, 1))
  counted 74000/124892, best (723, (-160, 1, 1, 1))
  counted 74400/124892, best (723, (-160, 1, 1, 1))
  counted 74800/124892, best (723, (-160, 1, 1, 1))
  counted 75200/124892, best (723, (-160, 1, 1, 1))
  counted 75600/124892, best (723, (-160, 1, 1, 1))
  counted 76000/124892, best (723, (-160, 1, 1, 1))
  counted 76400/124892, best (723, (-160, 1, 1, 1))
  counted 76800/124892, best (723, (-160, 1, 1, 1))
  counted 77200/124892, best (723, (-160, 1, 1, 1))
  counted 77600/124892, best (723, (-160, 1, 1, 1))
  counted 78000/124892, best (723, (-160, 1, 1, 1))
  counted 78400/124892, best (723, (-160, 1, 1, 1))
  counted 78800/124892, best (723, (-160, 1, 1, 1))
  counted 79200/124892, best (723, (-160, 1, 1, 1))
  counted 79600/124892, best (723, (-160, 1, 1, 1))
  counted 80000/124892, best (723, (-160, 1, 1, 1))
  counted 80400/124892, best (723, (-160, 1, 1, 1))
  counted 80800/124892, best (723, (-160, 1, 1, 1))
  counted 81200/124892, best (723, (-160, 1, 1, 1))
  counted 81600/124892, best (723, (-160, 1, 1, 1))
  counted 82000/124892, best (723, (-160, 1, 1, 1))
  counted 82400/124892, best (723, (-160, 1, 1, 1))
  counted 82800/124892, best (723, (-160, 1, 1, 1))
  counted 83200/124892, best (723, (-160, 1, 1, 1))
  counted 83600/124892, best (723, (-160, 1, 1, 1))
  counted 84000/124892, best (723, (-160, 1, 1, 1))
  counted 84400/124892, best (723, (-160, 1, 1, 1))
  counted 84800/124892, best (723, (-160, 1, 1, 1))
  counted 85200/124892, best (723, (-160, 1, 1, 1))
  counted 85600/124892, best (723, (-160, 1, 1, 1))
  counted 86000/124892, best (723, (-160, 1, 1, 1))
  counted 86400/124892, best (723, (-160, 1, 1, 1))
  counted 86800/124892, best (723, (-160, 1, 1, 1))
  counted 87200/124892, best (723, (-160, 1, 1, 1))
  counted 87600/124892, best (723, (-160, 1, 1, 1))
  counted 88000/124892, best (723, (-160, 1, 1, 1))
  counted 88400/124892, best (723, (-160, 1, 1, 1))
  counted 88800/124892, best (723, (-160, 1, 1, 1))
  counted 89200/124892, best (723, (-160, 1, 1, 1))
  counted 89600/124892, best (723, (-160, 1, 1, 1))
  counted 90000/124892, best (723, (-160, 1, 1, 1))
  counted 90400/124892, best (723, (-160, 1, 1, 1))
  counted 90800/124892, best (723, (-160, 1, 1, 1))
  counted 91200/124892, best (723, (-160, 1, 1, 1))
  counted 91600/124892, best (723, (-160, 1, 1, 1))
  counted 92000/124892, best (723, (-160, 1, 1, 1))
  counted 92400/124892, best (723, (-160, 1, 1, 1))
  counted 92800/124892, best (723, (-160, 1, 1, 1))
  counted 93200/124892, best (723, (-160, 1, 1, 1))
  counted 93600/124892, best (723, (-160, 1, 1, 1))
  counted 94000/124892, best (723, (-160, 1, 1, 1))
  counted 94400/124892, best (723, (-160, 1, 1, 1))
  counted 94800/124892, best (723, (-160, 1, 1, 1))
  counted 95200/124892, best (723, (-160, 1, 1, 1))
  counted 95600/124892, best (723, (-160, 1, 1, 1))
  counted 96000/124892, best (723, (-160, 1, 1, 1))
  counted 96400/124892, best (723, (-160, 1, 1, 1))
  counted 96800/124892, best (723, (-160, 1, 1, 1))
  counted 97200/124892, best (723, (-160, 1, 1, 1))
  counted 97600/124892, best (723, (-160, 1, 1, 1))
  counted 98000/124892, best (723, (-160, 1, 1, 1))
  counted 98400/124892, best (723, (-160, 1, 1, 1))
  counted 98800/124892, best (723, (-160, 1, 1, 1))
  counted 99200/124892, best (723, (-160, 1, 1, 1))
  counted 99600/124892, best (723, (-160, 1, 1, 1))
  counted 100000/124892, best (723, (-160, 1, 1, 1))
  counted 100400/124892, best (723, (-160, 1, 1, 1))
  counted 100800/124892, best (723, (-160, 1, 1, 1))
  counted 101200/124892, best (723, (-160, 1, 1, 1))
  counted 101600/124892, best (723, (-160, 1, 1, 1))
  counted 102000/124892, best (723, (-160, 1, 1, 1))
  counted 102400/124892, best (723, (-160, 1, 1, 1))
  counted 102800/124892, best (723, (-160, 1, 1, 1))
  counted 103200/124892, best (723, (-160, 1, 1, 1))
  counted 103600/124892, best (723, (-160, 1, 1, 1))
  counted 104000/124892, best (723, (-160, 1, 1, 1))
  counted 104400/124892, best (723, (-160, 1, 1, 1))
  counted 104800/124892, best (723, (-160, 1, 1, 1))
  counted 105200/124892, best (723, (-160, 1, 1, 1))
  counted 105600/124892, best (723, (-160, 1, 1, 1))
  counted 106000/124892, best (723, (-160, 1, 1, 1))
  counted 106400/124892, best (723, (-160, 1, 1, 1))
  counted 106800/124892, best (723, (-160, 1, 1, 1))
  counted 107200/124892, best (723, (-160, 1, 1, 1))
  counted 107600/124892, best (723, (-160, 1, 1, 1))
  counted 108000/124892, best (723, (-160, 1, 1, 1))
  counted 108400/124892, best (723, (-160, 1, 1, 1))
  counted 108800/124892, best (723, (-160, 1, 1, 1))
  counted 109200/124892, best (723, (-160, 1, 1, 1))
  counted 109600/124892, best (723, (-160, 1, 1, 1))
  counted 110000/124892, best (723, (-160, 1, 1, 1))
  counted 110400/124892, best (723, (-160, 1, 1, 1))
  counted 110800/124892, best (723, (-160, 1, 1, 1))
  counted 111200/124892, best (723, (-160, 1, 1, 1))
  counted 111600/124892, best (723, (-160, 1, 1, 1))
  counted 112000/124892, best (723, (-160, 1, 1, 1))
  counted 112400/124892, best (723, (-160, 1, 1, 1))
  counted 112800/124892, best (723, (-160, 1, 1, 1))
  counted 113200/124892, best (723, (-160, 1, 1, 1))
  counted 113600/124892, best (723, (-160, 1, 1, 1))
  counted 114000/124892, best (723, (-160, 1, 1, 1))
  counted 114400/124892, best (723, (-160, 1, 1, 1))
  counted 114800/124892, best (723, (-160, 1, 1, 1))
  counted 115200/124892, best (723, (-160, 1, 1, 1))
  counted 115600/124892, best (723, (-160, 1, 1, 1))
  counted 116000/124892, best (723, (-160, 1, 1, 1))
  counted 116400/124892, best (723, (-160, 1, 1, 1))
  counted 116800/124892, best (723, (-160, 1, 1, 1))
  counted 117200/124892, best (723, (-160, 1, 1, 1))
  counted 117600/124892, best (723, (-160, 1, 1, 1))
  counted 118000/124892, best (723, (-160, 1, 1, 1))
  counted 118400/124892, best (723, (-160, 1, 1, 1))
  counted 118800/124892, best (723, (-160, 1, 1, 1))
  counted 119200/124892, best (723, (-160, 1, 1, 1))
  counted 119600/124892, best (723, (-160, 1, 1, 1))
  counted 120000/124892, best (723, (-160, 1, 1, 1))
  counted 120400/124892, best (723, (-160, 1, 1, 1))
  counted 120800/124892, best (723, (-160, 1, 1, 1))
  counted 121200/124892, best (723, (-160, 1, 1, 1))
  counted 121600/124892, best (723, (-160, 1, 1, 1))
  counted 122000/124892, best (723, (-160, 1, 1, 1))
  counted 122400/124892, best (723, (-160, 1, 1, 1))
  counted 122800/124892, best (723, (-160, 1, 1, 1))
  counted 123200/124892, best (723, (-160, 1, 1, 1))
  counted 123600/124892, best (723, (-160, 1, 1, 1))
  counted 124000/124892, best (723, (-160, 1, 1, 1))
  counted 124400/124892, best (723, (-160, 1, 1, 1))
  counted 124800/124892, best (723, (-160, 1, 1, 1))
  counted 124892/124892, best (723, (-160, 1, 1, 1))

DONE. best = (723, (-160, 1, 1, 1))
top of the distribution: {697: 45, 699: 19257, 701: 27, 703: 3252, 705: 33, 707: 3972, 709: 30, 711: 13495, 713: 57, 715: 9954, 717: 177, 719: 16422, 721: 69, 723: 49345}
