preloaded 0 memoized evals
=== deepsweep: 48 starts x 3 plain objectives + 10 strata ===
  record723:d1d2: converged it=1 total=723 by_depth={0: 1, 1: 210, 2: 216, 3: 164, 4: 96, 5: 36, 6: 1} score=426.0
  record717:d1d2: converged it=1 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 158, 4: 102, 5: 36, 6: 1} score=420.0
  groebner_aq0:d1d2: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=420.0
  groebner_aq1:d1d2: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=420.0
  groebner_aq2:d1d2: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=420.0
  groebner_aq3:d1d2: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=420.0
  groebner_aq4:d1d2: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=420.0
  groebner_aq5:d1d2: converged it=1 total=689 by_depth={0: 1, 1: 224, 2: 198, 3: 142, 4: 88, 5: 36, 6: 1} score=422.0
  groebner_aq6:d1d2: converged it=1 total=689 by_depth={0: 1, 1: 224, 2: 198, 3: 142, 4: 88, 5: 36, 6: 1} score=422.0
  groebner_aq7:d1d2: converged it=1 total=689 by_depth={0: 1, 1: 224, 2: 198, 3: 142, 4: 88, 5: 36, 6: 1} score=422.0
  groebner_aq8:d1d2: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=420.0
  groebner_aq9:d1d2: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=420.0
  groebner_aq10:d1d2: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=420.0
  groebner_aq11:d1d2: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=420.0
  groebner_aq12:d1d2: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=420.0
  groebner_aq13:d1d2: converged it=2 total=721 by_depth={0: 1, 1: 208, 2: 220, 3: 156, 4: 100, 5: 36, 6: 1} score=428.0
  groebner_aq14:d1d2: converged it=1 total=689 by_depth={0: 1, 1: 224, 2: 198, 3: 142, 4: 88, 5: 36, 6: 1} score=422.0
  groebner_aq15:d1d2: converged it=1 total=689 by_depth={0: 1, 1: 224, 2: 198, 3: 142, 4: 88, 5: 36, 6: 1} score=422.0
  groebner_aq16:d1d2: converged it=2 total=721 by_depth={0: 1, 1: 208, 2: 220, 3: 156, 4: 100, 5: 36, 6: 1} score=428.0
  groebner_aq17:d1d2: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=420.0
  groebner_aq18:d1d2: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=420.0
  groebner_aq19:d1d2: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=420.0
  groebner_aq20:d1d2: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=420.0
  groebner_aq21:d1d2: converged it=2 total=719 by_depth={0: 1, 1: 214, 2: 216, 3: 158, 4: 94, 5: 36, 6: 1} score=430.0
  groebner_aq22:d1d2: converged it=1 total=689 by_depth={0: 1, 1: 224, 2: 198, 3: 142, 4: 88, 5: 36, 6: 1} score=422.0
  groebner_aq23:d1d2: converged it=1 total=689 by_depth={0: 1, 1: 224, 2: 198, 3: 142, 4: 88, 5: 36, 6: 1} score=422.0
  groebner_aq24:d1d2: converged it=2 total=719 by_depth={0: 1, 1: 214, 2: 216, 3: 158, 4: 94, 5: 36, 6: 1} score=430.0
  groebner_aq25:d1d2: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=420.0
  random_723_s2_0:d1d2: converged it=3 total=705 by_depth={0: 1, 1: 202, 2: 216, 3: 154, 4: 96, 5: 36, 6: 1} score=418.0
  random_717_s3_1:d1d2: converged it=3 total=677 by_depth={0: 1, 1: 168, 2: 210, 3: 160, 4: 102, 5: 36, 6: 1} score=378.0
  random_723_s4_2:d1d2: converged it=4 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=420.0
  random_717_s5_3:d1d2: converged it=7 total=723 by_depth={0: 1, 1: 198, 2: 222, 3: 164, 4: 102, 5: 36, 6: 1} score=420.0
  random_723_s6_4:d1d2: converged it=3 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=420.0
  random_717_s8_5:d1d2: converged it=6 total=699 by_depth={0: 1, 1: 178, 2: 218, 3: 164, 4: 102, 5: 36, 6: 1} score=396.0
  random_723_s10_6:d1d2: converged it=7 total=699 by_depth={0: 1, 1: 198, 2: 214, 3: 152, 4: 98, 5: 36, 6: 1} score=412.0
  random_717_s12_7:d1d2: converged it=5 total=677 by_depth={0: 1, 1: 162, 2: 216, 3: 162, 4: 100, 5: 36, 6: 1} score=378.0
  random_723_s2_8:d1d2: converged it=3 total=723 by_depth={0: 1, 1: 210, 2: 216, 3: 164, 4: 96, 5: 36, 6: 1} score=426.0
  random_717_s3_9:d1d2: converged it=3 total=707 by_depth={0: 1, 1: 190, 2: 220, 3: 160, 4: 100, 5: 36, 6: 1} score=410.0
  random_723_s4_10:d1d2: converged it=7 total=713 by_depth={0: 1, 1: 198, 2: 218, 3: 158, 4: 102, 5: 36, 6: 1} score=416.0
  random_717_s5_11:d1d2: converged it=5 total=693 by_depth={0: 1, 1: 180, 2: 214, 3: 160, 4: 102, 5: 36, 6: 1} score=394.0
  random_723_s6_12:d1d2: converged it=5 total=705 by_depth={0: 1, 1: 190, 2: 216, 3: 162, 4: 100, 5: 36, 6: 1} score=406.0
  random_717_s8_13:d1d2: converged it=6 total=703 by_depth={0: 1, 1: 188, 2: 216, 3: 160, 4: 102, 5: 36, 6: 1} score=404.0
  random_723_s10_14:d1d2: converged it=8 total=709 by_depth={0: 1, 1: 206, 2: 216, 3: 154, 4: 96, 5: 36, 6: 1} score=422.0
  random_717_s12_15:d1d2: converged it=7 total=699 by_depth={0: 1, 1: 200, 2: 212, 3: 154, 4: 96, 5: 36, 6: 1} score=412.0
  random_723_s2_16:d1d2: converged it=3 total=723 by_depth={0: 1, 1: 210, 2: 216, 3: 164, 4: 96, 5: 36, 6: 1} score=426.0
  random_717_s3_17:d1d2: converged it=4 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 158, 4: 102, 5: 36, 6: 1} score=420.0
  random_723_s4_18:d1d2: converged it=7 total=723 by_depth={0: 1, 1: 210, 2: 220, 3: 156, 4: 100, 5: 36, 6: 1} score=430.0
  random_717_s5_19:d1d2: converged it=5 total=701 by_depth={0: 1, 1: 204, 2: 206, 3: 156, 4: 98, 5: 36, 6: 1} score=410.0
-- objective d1d2 champion: total=719 by_depth={0: 1, 1: 214, 2: 216, 3: 158, 4: 94, 5: 36, 6: 1}
  record723:total: converged it=1 total=723 by_depth={0: 1, 1: 210, 2: 216, 3: 164, 4: 96, 5: 36, 6: 1} score=723.0
  record717:total: converged it=1 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 158, 4: 102, 5: 36, 6: 1} score=717.0
  groebner_aq0:total: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=717.0
  groebner_aq1:total: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=717.0
  groebner_aq2:total: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=717.0
  groebner_aq3:total: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=717.0
  groebner_aq4:total: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=717.0
  groebner_aq5:total: converged it=3 total=723 by_depth={0: 1, 1: 210, 2: 218, 3: 160, 4: 98, 5: 36, 6: 1} score=723.0
  groebner_aq6:total: converged it=3 total=723 by_depth={0: 1, 1: 210, 2: 218, 3: 160, 4: 98, 5: 36, 6: 1} score=723.0
  groebner_aq7:total: converged it=2 total=713 by_depth={0: 1, 1: 206, 2: 210, 3: 162, 4: 98, 5: 36, 6: 1} score=713.0
  groebner_aq8:total: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=717.0
  groebner_aq9:total: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=717.0
  groebner_aq10:total: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=717.0
  groebner_aq11:total: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=717.0
  groebner_aq12:total: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=717.0
  groebner_aq13:total: converged it=2 total=721 by_depth={0: 1, 1: 210, 2: 214, 3: 162, 4: 98, 5: 36, 6: 1} score=721.0
  groebner_aq14:total: converged it=2 total=713 by_depth={0: 1, 1: 202, 2: 214, 3: 162, 4: 98, 5: 36, 6: 1} score=713.0
  groebner_aq15:total: converged it=2 total=713 by_depth={0: 1, 1: 202, 2: 214, 3: 162, 4: 98, 5: 36, 6: 1} score=713.0
  groebner_aq16:total: converged it=2 total=721 by_depth={0: 1, 1: 208, 2: 220, 3: 156, 4: 100, 5: 36, 6: 1} score=721.0
  groebner_aq17:total: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=717.0
  groebner_aq18:total: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=717.0
  groebner_aq19:total: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=717.0
  groebner_aq20:total: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=717.0
  groebner_aq21:total: converged it=3 total=721 by_depth={0: 1, 1: 208, 2: 218, 3: 160, 4: 98, 5: 36, 6: 1} score=721.0
  groebner_aq22:total: converged it=3 total=721 by_depth={0: 1, 1: 208, 2: 220, 3: 156, 4: 100, 5: 36, 6: 1} score=721.0
  groebner_aq23:total: converged it=3 total=721 by_depth={0: 1, 1: 208, 2: 220, 3: 156, 4: 100, 5: 36, 6: 1} score=721.0
  groebner_aq24:total: converged it=3 total=721 by_depth={0: 1, 1: 208, 2: 218, 3: 160, 4: 98, 5: 36, 6: 1} score=721.0
  groebner_aq25:total: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=717.0
  random_723_s2_0:total: converged it=3 total=705 by_depth={0: 1, 1: 202, 2: 216, 3: 154, 4: 96, 5: 36, 6: 1} score=705.0
  random_717_s3_1:total: converged it=7 total=711 by_depth={0: 1, 1: 190, 2: 218, 3: 164, 4: 102, 5: 36, 6: 1} score=711.0
  random_723_s4_2:total: converged it=3 total=715 by_depth={0: 1, 1: 192, 2: 220, 3: 164, 4: 102, 5: 36, 6: 1} score=715.0
  random_717_s5_3:total: converged it=7 total=723 by_depth={0: 1, 1: 198, 2: 222, 3: 164, 4: 102, 5: 36, 6: 1} score=723.0
  random_723_s6_4:total: converged it=3 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=717.0
  random_717_s8_5:total: converged it=6 total=699 by_depth={0: 1, 1: 178, 2: 218, 3: 164, 4: 102, 5: 36, 6: 1} score=699.0
  random_723_s10_6:total: converged it=5 total=689 by_depth={0: 1, 1: 170, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1} score=689.0
  random_717_s12_7:total: converged it=5 total=677 by_depth={0: 1, 1: 162, 2: 216, 3: 162, 4: 100, 5: 36, 6: 1} score=677.0
  random_723_s2_8:total: converged it=3 total=723 by_depth={0: 1, 1: 210, 2: 216, 3: 164, 4: 96, 5: 36, 6: 1} score=723.0
  random_717_s3_9:total: converged it=4 total=711 by_depth={0: 1, 1: 190, 2: 218, 3: 164, 4: 102, 5: 36, 6: 1} score=711.0
  random_723_s4_10:total: converged it=3 total=679 by_depth={0: 1, 1: 164, 2: 214, 3: 164, 4: 100, 5: 36, 6: 1} score=679.0
