self-test ok (identity pair -> 1 region)
 psi(deg)  (p,q,r)        total  d1  d2  d3
   0.000  (0,1,1)            25   12  12   1   (0.6s)
   8.797  (13,84,85)         31   18  12   1   (1.5s)
  10.389  (11,60,61)         43   24  18   1   (1.7s)
  12.680  (9,40,41)          43   24  18   1   (1.6s)
  14.250  (16,63,65)         43   24  18   1   (1.7s)
  16.260  (7,24,25)          43   24  18   1   (1.8s)
  18.925  (12,35,37)         43   24  18   1   (2.2s)
  22.620  (5,12,13)          55   36  18   1   (2.7s)
  25.058  (36,77,85)         55   36  18   1   (1.8s)
  25.989  (39,80,89)         55   36  18   1   (1.9s)
  28.072  (8,15,17)          55   36  18   1   (1.8s)
  30.510  (33,56,65)         55   36  18   1   (1.7s)
  31.891  (28,45,53)         55   36  18   1   (1.7s)
  36.870  (3,4,5)            55   36  18   1   (1.7s)
  41.112  (48,55,73)         55   36  18   1   (1.8s)
  42.075  (65,72,97)         55   36  18   1   (1.8s)
  43.603  (20,21,29)         55   36  18   1   (1.9s)
  46.397  (21,20,29)         55   36  18   1   (1.8s)
  47.925  (72,65,97)         55   36  18   1   (1.8s)
  48.888  (55,48,73)         55   36  18   1   (1.7s)
  53.130  (4,3,5)            55   36  18   1   (1.7s)
  58.109  (45,28,53)         55   36  18   1   (1.7s)
  59.490  (56,33,65)         55   36  18   1   (1.7s)
  61.928  (15,8,17)          55   36  18   1   (1.7s)
  64.011  (80,39,89)         55   36  18   1   (1.8s)
  64.942  (77,36,85)         55   36  18   1   (1.8s)
  67.380  (12,5,13)          55   36  18   1   (1.8s)
  71.075  (35,12,37)         43   24  18   1   (2.1s)
  73.740  (24,7,25)          43   24  18   1   (2.1s)
  75.750  (63,16,65)         43   24  18   1   (1.9s)
  77.320  (40,9,41)          43   24  18   1   (1.6s)
  79.611  (60,11,61)         43   24  18   1   (1.6s)
  81.203  (84,13,85)         31   18  12   1   (1.6s)
  90.000  (1,0,1)            25   12  12   1   (0.6s)
