starting
planes/cube [24, 24, 24, 24, 23] ; quadrics/cube [96, 96, 96, 96, 96]
squarefree classes of the irrational solutions (top 12): [(5, 13500), (17, 12930), (465, 8394), (15, 8106), (115, 7536), (6, 7104), (10, 6828), (481, 6594), (217, 5970), (145, 5508), (13, 5244), (73, 4998)]
classes: 1384, candidate configs: 508818
  Q(sqrt5       ):   8808 cfgs, counted   8472, best 721
  Q(sqrt17      ):   6570 cfgs, counted   6492, best 717
  Q(sqrt6       ):   4758 cfgs, counted   4644, best 723
  Q(sqrt481     ):   4632 cfgs, counted   2274, best 721
  Q(sqrt145     ):   4452 cfgs, counted   4056, best 721
  Q(sqrt465     ):   3330 cfgs, counted   2058, best 711
  Q(sqrt161     ):   3312 cfgs, counted   2946, best 715
  Q(sqrt41      ):   3270 cfgs, counted   3060, best 719
  Q(sqrt13      ):   3228 cfgs, counted   3186, best 727
  Q(sqrt2       ):   3084 cfgs, counted   3084, best 713
  Q(sqrt73      ):   3048 cfgs, counted   2796, best 711
  Q(sqrt15      ):   2964 cfgs, counted   2856, best 709
  Q(sqrt3       ):   2958 cfgs, counted   2928, best 723
  Q(sqrt19      ):   2940 cfgs, counted   2748, best 721
  Q(sqrt115     ):   2826 cfgs, counted   2184, best 723
  Q(sqrt21      ):   2706 cfgs, counted   2556, best 719
  Q(sqrt10      ):   2700 cfgs, counted   2514, best 723
  Q(sqrt7       ):   2676 cfgs, counted   2664, best 723
  Q(sqrt177     ):   2562 cfgs, counted   2454, best 715
  Q(sqrt281     ):   2502 cfgs, counted   2298, best 723
  Q(sqrt57      ):   2466 cfgs, counted   2412, best 723
  Q(sqrt61      ):   2442 cfgs, counted   2346, best 711
  Q(sqrt85      ):   2388 cfgs, counted   2010, best 709
  Q(sqrt137     ):   2376 cfgs, counted   2124, best 715
  Q(sqrt313     ):   2340 cfgs, counted   1440, best 723
  Q(sqrt241     ):   2298 cfgs, counted   1800, best 719
  Q(sqrt265     ):   2244 cfgs, counted   1794, best 715
  Q(sqrt505     ):   2232 cfgs, counted   1368, best 721
  Q(sqrt201     ):   2154 cfgs, counted   1800, best 721
  Q(sqrt30      ):   2118 cfgs, counted   2022, best 715
