shard 1: 20000 rows, 0.0 h elapsed
shard 1: 40000 rows, 0.1 h elapsed
shard 1: 60000 rows, 0.1 h elapsed
shard 1: 80000 rows, 0.1 h elapsed
shard 1: 100000 rows, 0.2 h elapsed
shard 1: 120000 rows, 0.2 h elapsed
shard 1: 140000 rows, 0.2 h elapsed
shard 1: 160000 rows, 0.3 h elapsed
shard 1: 180000 rows, 0.3 h elapsed
shard 1: 200000 rows, 0.4 h elapsed
shard 1: 220000 rows, 0.4 h elapsed
shard 1: 240000 rows, 0.5 h elapsed
shard 1: 260000 rows, 0.5 h elapsed
shard 1: 280000 rows, 0.5 h elapsed
shard 1: 300000 rows, 0.6 h elapsed
shard 1: 320000 rows, 0.6 h elapsed
shard 1: 340000 rows, 0.7 h elapsed
shard 1: 360000 rows, 0.7 h elapsed
shard 1: 380000 rows, 0.8 h elapsed
shard 1: 400000 rows, 0.9 h elapsed
shard 1: 420000 rows, 0.9 h elapsed
shard 1: 440000 rows, 1.0 h elapsed
shard 1: 460000 rows, 1.1 h elapsed
shard 1: 480000 rows, 1.1 h elapsed
shard 1: 500000 rows, 1.2 h elapsed
shard 1: 520000 rows, 1.3 h elapsed
shard 1: 540000 rows, 1.3 h elapsed
shard 1: 560000 rows, 1.4 h elapsed
shard 1: 580000 rows, 1.4 h elapsed
shard 1: 600000 rows, 1.5 h elapsed
shard 1: 620000 rows, 1.5 h elapsed
shard 1: 640000 rows, 1.6 h elapsed
shard 1: 660000 rows, 1.6 h elapsed
shard 1: 680000 rows, 1.7 h elapsed
shard 1: 700000 rows, 1.7 h elapsed
shard 1: 720000 rows, 1.8 h elapsed
shard 1: 740000 rows, 1.9 h elapsed
shard 1: 760000 rows, 2.0 h elapsed
shard 1: 780000 rows, 2.0 h elapsed
shard 1 done: 783873 rows
