carried over from resolve3917.py: 5 verified directions (heights [1, 1, 1, 14, 14])
their rank: 5 ; need one more independent preserving direction

965 independent candidates across all 9 cube-slices; cheapest heights [1, 1, 1, 1, 1, 1, 1, 1]

   cube 1, height 1        changes
   cube 1, height 1        changes
   cube 1, height 1        changes
   cube 1, height 1        changes
   cube 1, height 1        changes
   cube 1, height 1        changes
   cube 1, height 1        changes
   cube 2, height 1        changes
   cube 2, height 1        changes
   cube 2, height 1        changes
   cube 2, height 1        changes
   cube 2, height 1        changes
   cube 2, height 1        changes
   cube 2, height 1        changes
   cube 3, height 1        changes
   cube 3, height 1        changes
   cube 4, height 1        changes
   cube 4, height 1        changes
   cube 4, height 1        changes
   cube 4, height 1        changes
   cube 4, height 1        changes
   cube 4, height 1        changes
   cube 4, height 1        changes
   cube 4, height 1        changes
   cube 4, height 1        changes
   cube 4, height 1        changes
   cube 4, height 1        changes
   cube 4, height 1        changes
   cube 4, height 1        changes
   cube 3, height 2        changes
   cube 3, height 2        changes
   cube 3, height 2        changes
   cube 4, height 2        changes
   cube 4, height 2        changes
   cube 4, height 2        changes
   cube 4, height 2        changes
   cube 1, height 3        changes
   cube 1, height 3        changes
   cube 1, height 3        changes
   cube 1, height 3        changes

no 6th direction found in the first 40 candidates (0 unevaluated)
