[    84s] 10 tested, 0 violations, 2 equalities, m=F in 10
[   490s] 20 tested, 0 violations, 2 equalities, m=F in 20
[   820s] 30 tested, 0 violations, 3 equalities, m=F in 30
[  1159s] 40 tested, 0 violations, 4 equalities, m=F in 40
[  1365s] 50 tested, 0 violations, 4 equalities, m=F in 50
[  1512s] 60 tested, 0 violations, 5 equalities, m=F in 60
[  1810s] 70 tested, 0 violations, 5 equalities, m=F in 70
[  2091s] 80 tested, 0 violations, 6 equalities, m=F in 80
[  2163s] 90 tested, 0 violations, 8 equalities, m=F in 90
[  2394s] 100 tested, 0 violations, 9 equalities, m=F in 100
[  2573s] 110 tested, 0 violations, 11 equalities, m=F in 110
[  2772s] 120 tested, 0 violations, 11 equalities, m=F in 120
[  2833s] 130 tested, 0 violations, 12 equalities, m=F in 130
[  3054s] 140 tested, 0 violations, 13 equalities, m=F in 140
[  3134s] 150 tested, 0 violations, 15 equalities, m=F in 150
[  3296s] 160 tested, 0 violations, 15 equalities, m=F in 160
[  3458s] 170 tested, 0 violations, 16 equalities, m=F in 170
[  3709s] 180 tested, 0 violations, 18 equalities, m=F in 180
[  3813s] 190 tested, 0 violations, 19 equalities, m=F in 190
[  3923s] 200 tested, 0 violations, 21 equalities, m=F in 200
[  4204s] 210 tested, 0 violations, 22 equalities, m=F in 210
[  4432s] 220 tested, 0 violations, 22 equalities, m=F in 220
[  4528s] 230 tested, 0 violations, 23 equalities, m=F in 230
[  4769s] 240 tested, 0 violations, 24 equalities, m=F in 240
[  5017s] 250 tested, 0 violations, 26 equalities, m=F in 250
[  5327s] 260 tested, 0 violations, 26 equalities, m=F in 260
[  5439s] 270 tested, 0 violations, 26 equalities, m=F in 270
[  5608s] 280 tested, 0 violations, 27 equalities, m=F in 280
[  5889s] 290 tested, 0 violations, 27 equalities, m=F in 290
[  6160s] 300 tested, 0 violations, 27 equalities, m=F in 300
[  6314s] 310 tested, 0 violations, 28 equalities, m=F in 310
[  6447s] 320 tested, 0 violations, 28 equalities, m=F in 320
[  6626s] 330 tested, 0 violations, 28 equalities, m=F in 330
[  6665s] 340 tested, 0 violations, 30 equalities, m=F in 340
[  6796s] 350 tested, 0 violations, 31 equalities, m=F in 350
[  6983s] 360 tested, 0 violations, 32 equalities, m=F in 360
[  7151s] 370 tested, 0 violations, 33 equalities, m=F in 370
[  7209s] 380 tested, 0 violations, 35 equalities, m=F in 380
[  7374s] 390 tested, 0 violations, 35 equalities, m=F in 390
[  7498s] 400 tested, 0 violations, 36 equalities, m=F in 400
[  7827s] 410 tested, 0 violations, 36 equalities, m=F in 410
[  7910s] 420 tested, 0 violations, 39 equalities, m=F in 420
[  8038s] 430 tested, 0 violations, 42 equalities, m=F in 430
[  8252s] 440 tested, 0 violations, 43 equalities, m=F in 440
[  8594s] 450 tested, 0 violations, 43 equalities, m=F in 450
[  8810s] 460 tested, 0 violations, 43 equalities, m=F in 460
[  8994s] 470 tested, 0 violations, 44 equalities, m=F in 470
[  9330s] 480 tested, 0 violations, 45 equalities, m=F in 480
[  9398s] 490 tested, 0 violations, 46 equalities, m=F in 490
[  9545s] 500 tested, 0 violations, 47 equalities, m=F in 500
[  9623s] 510 tested, 0 violations, 47 equalities, m=F in 510
[  9826s] 520 tested, 0 violations, 47 equalities, m=F in 520
[  9947s] 530 tested, 0 violations, 47 equalities, m=F in 530
[ 10095s] 540 tested, 0 violations, 49 equalities, m=F in 540
[ 10386s] 550 tested, 0 violations, 50 equalities, m=F in 550
[ 10479s] 560 tested, 0 violations, 53 equalities, m=F in 560
[ 10704s] 570 tested, 0 violations, 53 equalities, m=F in 570
[ 10834s] 580 tested, 0 violations, 53 equalities, m=F in 580
[ 10941s] 590 tested, 0 violations, 53 equalities, m=F in 590
[ 11106s] 600 tested, 0 violations, 56 equalities, m=F in 600
[ 11272s] 610 tested, 0 violations, 56 equalities, m=F in 610
[ 11520s] 620 tested, 0 violations, 56 equalities, m=F in 620
[ 11658s] 630 tested, 0 violations, 57 equalities, m=F in 630
[ 11831s] 640 tested, 0 violations, 57 equalities, m=F in 640
[ 11998s] 650 tested, 0 violations, 57 equalities, m=F in 650
[ 12065s] 660 tested, 0 violations, 60 equalities, m=F in 660
[ 12219s] 670 tested, 0 violations, 61 equalities, m=F in 670
[ 12375s] 680 tested, 0 violations, 63 equalities, m=F in 680
[ 12460s] 690 tested, 0 violations, 64 equalities, m=F in 690
[ 12597s] 700 tested, 0 violations, 64 equalities, m=F in 700
[ 12690s] 710 tested, 0 violations, 64 equalities, m=F in 710
[ 12743s] 720 tested, 0 violations, 66 equalities, m=F in 720
[ 12816s] 730 tested, 0 violations, 66 equalities, m=F in 730
[ 12895s] 740 tested, 0 violations, 66 equalities, m=F in 740
[ 13028s] 750 tested, 0 violations, 68 equalities, m=F in 750
[ 13135s] 760 tested, 0 violations, 69 equalities, m=F in 760
[ 13270s] 770 tested, 0 violations, 70 equalities, m=F in 770
[ 13311s] 780 tested, 0 violations, 71 equalities, m=F in 780
[ 13359s] 790 tested, 0 violations, 72 equalities, m=F in 790
[ 13434s] 800 tested, 0 violations, 72 equalities, m=F in 800
[ 13483s] 810 tested, 0 violations, 72 equalities, m=F in 810
[ 13626s] 820 tested, 0 violations, 74 equalities, m=F in 820
[ 13677s] 830 tested, 0 violations, 77 equalities, m=F in 830
[ 13820s] 840 tested, 0 violations, 77 equalities, m=F in 840
[ 13962s] 850 tested, 0 violations, 78 equalities, m=F in 850
[ 14038s] 860 tested, 0 violations, 80 equalities, m=F in 860
[ 14148s] 870 tested, 0 violations, 80 equalities, m=F in 870
[ 14267s] 880 tested, 0 violations, 80 equalities, m=F in 880
[ 14405s] 890 tested, 0 violations, 80 equalities, m=F in 890
[ 14635s] 900 tested, 0 violations, 82 equalities, m=F in 900
[ 14751s] 910 tested, 0 violations, 82 equalities, m=F in 910
[ 14808s] 920 tested, 0 violations, 82 equalities, m=F in 920
[ 15008s] 930 tested, 0 violations, 84 equalities, m=F in 930
[ 15079s] 940 tested, 0 violations, 85 equalities, m=F in 940
[ 15249s] 950 tested, 0 violations, 86 equalities, m=F in 950
[ 15538s] 960 tested, 0 violations, 86 equalities, m=F in 960
[ 15653s] 970 tested, 0 violations, 88 equalities, m=F in 970
[ 15944s] 980 tested, 0 violations, 88 equalities, m=F in 980
[ 16077s] 990 tested, 0 violations, 89 equalities, m=F in 990
[ 16177s] 1000 tested, 0 violations, 90 equalities, m=F in 1000
[ 16263s] 1010 tested, 0 violations, 90 equalities, m=F in 1010
[ 16406s] 1020 tested, 0 violations, 90 equalities, m=F in 1020
[ 16498s] 1030 tested, 0 violations, 92 equalities, m=F in 1030
[ 16606s] 1040 tested, 0 violations, 92 equalities, m=F in 1040
[ 16697s] 1050 tested, 0 violations, 92 equalities, m=F in 1050
[ 16818s] 1060 tested, 0 violations, 93 equalities, m=F in 1060
[ 17113s] 1070 tested, 0 violations, 95 equalities, m=F in 1070
[ 17259s] 1080 tested, 0 violations, 98 equalities, m=F in 1080
[ 17382s] 1090 tested, 0 violations, 100 equalities, m=F in 1090
[ 17485s] 1100 tested, 0 violations, 100 equalities, m=F in 1100
[ 17596s] 1110 tested, 0 violations, 101 equalities, m=F in 1110
[ 17693s] 1120 tested, 0 violations, 102 equalities, m=F in 1120
[ 17719s] 1130 tested, 0 violations, 106 equalities, m=F in 1130
[ 17971s] 1140 tested, 0 violations, 108 equalities, m=F in 1140
done: 1147 tested, 0 violations
