[   226s] 10 tested, 0 violations, 1 equalities, m=F in 10
[   481s] 20 tested, 0 violations, 3 equalities, m=F in 20
[   662s] 30 tested, 0 violations, 3 equalities, m=F in 30
[   757s] 40 tested, 0 violations, 3 equalities, m=F in 40
[   981s] 50 tested, 0 violations, 3 equalities, m=F in 50
[  1064s] 60 tested, 0 violations, 5 equalities, m=F in 60
[  1311s] 70 tested, 0 violations, 5 equalities, m=F in 70
[  1527s] 80 tested, 0 violations, 6 equalities, m=F in 80
[  1682s] 90 tested, 0 violations, 7 equalities, m=F in 90
[  1908s] 100 tested, 0 violations, 8 equalities, m=F in 100
[  2109s] 110 tested, 0 violations, 9 equalities, m=F in 110
[  2432s] 120 tested, 0 violations, 9 equalities, m=F in 120
[  2656s] 130 tested, 0 violations, 10 equalities, m=F in 130
[  2840s] 140 tested, 0 violations, 11 equalities, m=F in 140
[  3092s] 150 tested, 0 violations, 13 equalities, m=F in 150
[  3346s] 160 tested, 0 violations, 15 equalities, m=F in 160
[  3401s] 170 tested, 0 violations, 17 equalities, m=F in 170
[  3447s] 180 tested, 0 violations, 19 equalities, m=F in 180
[  3517s] 190 tested, 0 violations, 20 equalities, m=F in 190
[  3654s] 200 tested, 0 violations, 20 equalities, m=F in 200
[  3787s] 210 tested, 0 violations, 20 equalities, m=F in 210
[  3901s] 220 tested, 0 violations, 20 equalities, m=F in 220
[  4196s] 230 tested, 0 violations, 20 equalities, m=F in 230
[  4429s] 240 tested, 0 violations, 21 equalities, m=F in 240
[  4535s] 250 tested, 0 violations, 21 equalities, m=F in 250
[  4772s] 260 tested, 0 violations, 22 equalities, m=F in 260
[  4814s] 270 tested, 0 violations, 22 equalities, m=F in 270
[  4905s] 280 tested, 0 violations, 22 equalities, m=F in 280
[  5001s] 290 tested, 0 violations, 23 equalities, m=F in 290
[  5148s] 300 tested, 0 violations, 23 equalities, m=F in 300
[  5329s] 310 tested, 0 violations, 25 equalities, m=F in 310
[  5427s] 320 tested, 0 violations, 26 equalities, m=F in 320
[  5570s] 330 tested, 0 violations, 26 equalities, m=F in 330
[  5622s] 340 tested, 0 violations, 28 equalities, m=F in 340
[  5674s] 350 tested, 0 violations, 28 equalities, m=F in 350
[  5776s] 360 tested, 0 violations, 31 equalities, m=F in 360
[  5959s] 370 tested, 0 violations, 33 equalities, m=F in 370
[  6188s] 380 tested, 0 violations, 34 equalities, m=F in 380
[  6404s] 390 tested, 0 violations, 35 equalities, m=F in 390
[  6702s] 400 tested, 0 violations, 35 equalities, m=F in 400
[  6926s] 410 tested, 0 violations, 35 equalities, m=F in 410
[  7241s] 420 tested, 0 violations, 36 equalities, m=F in 420
[  7451s] 430 tested, 0 violations, 36 equalities, m=F in 430
[  7698s] 440 tested, 0 violations, 36 equalities, m=F in 440
[  7741s] 450 tested, 0 violations, 37 equalities, m=F in 450
[  7948s] 460 tested, 0 violations, 37 equalities, m=F in 460
[  8151s] 470 tested, 0 violations, 38 equalities, m=F in 470
[  8361s] 480 tested, 0 violations, 39 equalities, m=F in 480
[  8604s] 490 tested, 0 violations, 39 equalities, m=F in 490
[  8768s] 500 tested, 0 violations, 40 equalities, m=F in 500
[  8987s] 510 tested, 0 violations, 41 equalities, m=F in 510
[  9123s] 520 tested, 0 violations, 43 equalities, m=F in 520
[  9189s] 530 tested, 0 violations, 45 equalities, m=F in 530
[  9287s] 540 tested, 0 violations, 45 equalities, m=F in 540
[  9413s] 550 tested, 0 violations, 45 equalities, m=F in 550
[  9479s] 560 tested, 0 violations, 46 equalities, m=F in 560
[  9656s] 570 tested, 0 violations, 46 equalities, m=F in 570
[  9905s] 580 tested, 0 violations, 46 equalities, m=F in 580
[ 10071s] 590 tested, 0 violations, 48 equalities, m=F in 590
[ 10238s] 600 tested, 0 violations, 48 equalities, m=F in 600
[ 10466s] 610 tested, 0 violations, 50 equalities, m=F in 610
[ 10588s] 620 tested, 0 violations, 50 equalities, m=F in 620
[ 10725s] 630 tested, 0 violations, 51 equalities, m=F in 630
[ 11096s] 640 tested, 0 violations, 51 equalities, m=F in 640
[ 11157s] 650 tested, 0 violations, 52 equalities, m=F in 650
[ 11273s] 660 tested, 0 violations, 52 equalities, m=F in 660
[ 11446s] 670 tested, 0 violations, 52 equalities, m=F in 670
[ 11748s] 680 tested, 0 violations, 52 equalities, m=F in 680
[ 11879s] 690 tested, 0 violations, 54 equalities, m=F in 690
[ 12052s] 700 tested, 0 violations, 55 equalities, m=F in 700
[ 12237s] 710 tested, 0 violations, 55 equalities, m=F in 710
[ 12420s] 720 tested, 0 violations, 57 equalities, m=F in 720
[ 12554s] 730 tested, 0 violations, 57 equalities, m=F in 730
[ 12575s] 740 tested, 0 violations, 57 equalities, m=F in 740
[ 12689s] 750 tested, 0 violations, 58 equalities, m=F in 750
[ 12822s] 760 tested, 0 violations, 58 equalities, m=F in 760
[ 12837s] 770 tested, 0 violations, 59 equalities, m=F in 770
[ 12947s] 780 tested, 0 violations, 61 equalities, m=F in 780
[ 13102s] 790 tested, 0 violations, 62 equalities, m=F in 790
[ 13158s] 800 tested, 0 violations, 63 equalities, m=F in 800
[ 13264s] 810 tested, 0 violations, 65 equalities, m=F in 810
[ 13365s] 820 tested, 0 violations, 65 equalities, m=F in 820
[ 13387s] 830 tested, 0 violations, 67 equalities, m=F in 830
[ 13483s] 840 tested, 0 violations, 67 equalities, m=F in 840
[ 13680s] 850 tested, 0 violations, 68 equalities, m=F in 850
[ 13767s] 860 tested, 0 violations, 68 equalities, m=F in 860
[ 13959s] 870 tested, 0 violations, 68 equalities, m=F in 870
[ 14083s] 880 tested, 0 violations, 69 equalities, m=F in 880
[ 14350s] 890 tested, 0 violations, 70 equalities, m=F in 890
[ 14483s] 900 tested, 0 violations, 70 equalities, m=F in 900
[ 14585s] 910 tested, 0 violations, 72 equalities, m=F in 910
[ 14721s] 920 tested, 0 violations, 72 equalities, m=F in 920
[ 14773s] 930 tested, 0 violations, 73 equalities, m=F in 930
[ 14927s] 940 tested, 0 violations, 73 equalities, m=F in 940
[ 14986s] 950 tested, 0 violations, 76 equalities, m=F in 950
[ 15241s] 960 tested, 0 violations, 76 equalities, m=F in 960
[ 15473s] 970 tested, 0 violations, 79 equalities, m=F in 970
[ 15619s] 980 tested, 0 violations, 80 equalities, m=F in 980
[ 15818s] 990 tested, 0 violations, 80 equalities, m=F in 990
[ 15906s] 1000 tested, 0 violations, 80 equalities, m=F in 1000
[ 16130s] 1010 tested, 0 violations, 80 equalities, m=F in 1010
[ 16375s] 1020 tested, 0 violations, 80 equalities, m=F in 1020
[ 16469s] 1030 tested, 0 violations, 81 equalities, m=F in 1030
[ 16682s] 1040 tested, 0 violations, 82 equalities, m=F in 1040
[ 16771s] 1050 tested, 0 violations, 83 equalities, m=F in 1050
[ 16859s] 1060 tested, 0 violations, 83 equalities, m=F in 1060
[ 17161s] 1070 tested, 0 violations, 84 equalities, m=F in 1070
[ 17262s] 1080 tested, 0 violations, 84 equalities, m=F in 1080
[ 17326s] 1090 tested, 0 violations, 84 equalities, m=F in 1090
[ 17472s] 1100 tested, 0 violations, 84 equalities, m=F in 1100
[ 17574s] 1110 tested, 0 violations, 85 equalities, m=F in 1110
[ 17789s] 1120 tested, 0 violations, 85 equalities, m=F in 1120
[ 17932s] 1130 tested, 0 violations, 86 equalities, m=F in 1130
done: 1132 tested, 0 violations
