=== A1: do axes OFF every mirror plane ever reach 13? ===
   COUNTEREXAMPLE: axis (1, -9, 4) reaches 13
   COUNTEREXAMPLE: axis (-1, -4, -9) reaches 13
   60 generic axes x 299 angles = 17940 configurations
   best count reached, by axis: {5: 14, 9: 44, 13: 2}
   counterexamples to A1: 2

=== the 13-locus inside one mirror plane (z = 0: axes (p, q, 0)) ===
   axis           angles t with count 13
   (1, -7, 0)     1/6
   (1, -6, 0)     1/5
   (1, -5, 0)     1/6, 1/4
   (1, -4, 0)     1/5, 1/3
   (1, -3, 0)     1/4, 1/2
   (1, -2, 0)     1/3, 1
   (1, -1, 0)     1/2, 31/60, 8/15, 11/20, 17/30, 7/12, 3/5, 37/60
   (1, 1, 0)      1/2, 31/60, 8/15, 11/20, 17/30, 7/12, 3/5, 37/60
   (1, 2, 0)      1/3, 1
   (1, 3, 0)      1/4, 1/2
   (1, 4, 0)      1/5, 1/3
   (1, 5, 0)      1/6, 1/4
   (1, 6, 0)      1/5
   (1, 7, 0)      1/6
   (2, -7, 0)     1/5
   (2, -5, 0)     1/3
   (2, -3, 0)     1/5, 1/2, 1
   (2, -1, 0)     1/3, 1
   (2, 1, 0)      1/3, 1
   (2, 3, 0)      1/5, 1/2, 1
   (2, 5, 0)      1/3
   (2, 7, 0)      1/5
   (3, -8, 0)     1/5
   (3, -7, 0)     1/10, 1/4
   (3, -5, 0)     1/3, 1/2
   (3, -4, 0)     1/3, 1
   (3, -2, 0)     1/5, 1/2, 1
   (3, -1, 0)     1/4, 1/2
   (3, 1, 0)      1/4, 1/2
   (3, 2, 0)      1/5, 1/2, 1
   (3, 4, 0)      1/3, 1
   (3, 5, 0)      1/3, 1/2
   (3, 7, 0)      1/10, 1/4
   (3, 8, 0)      1/5
   (4, -7, 0)     1/4, 1/3
   (4, -5, 0)     1/4, 1
   (4, -3, 0)     1/3, 1
   (4, -1, 0)     1/5, 1/3
   (4, 1, 0)      1/5, 1/3
   (4, 3, 0)      1/3, 1
   (4, 5, 0)      1/4, 1
   (4, 7, 0)      1/4, 1/3
   (5, -8, 0)     1/5, 1/3
   (5, -7, 0)     1/12, 1/5, 1/2
   (5, -6, 0)     1/5, 1
   (5, -4, 0)     1/4, 1
   (5, -3, 0)     1/3, 1/2
   (5, -2, 0)     1/3
   (5, -1, 0)     1/6, 1/4
   (5, 1, 0)      1/6, 1/4
   (5, 2, 0)      1/3
   (5, 3, 0)      1/3, 1/2
   (5, 4, 0)      1/4, 1
   (5, 6, 0)      1/5, 1
   (5, 7, 0)      1/12, 1/5, 1/2
   (5, 8, 0)      1/5, 1/3
   (6, -7, 0)     1/6, 1
   (6, -5, 0)     1/5, 1
   (6, -1, 0)     1/5
   (6, 1, 0)      1/5
   (6, 5, 0)      1/5, 1
   (6, 7, 0)      1/6, 1
   (7, -8, 0)     1/15, 1
   (7, -6, 0)     1/6, 1
   (7, -5, 0)     1/12, 1/5, 1/2
   (7, -4, 0)     1/4, 1/3
   (7, -3, 0)     1/10, 1/4
   (7, -2, 0)     1/5
   (7, -1, 0)     1/6
   (7, 1, 0)      1/6
   (7, 2, 0)      1/5
   (7, 3, 0)      1/10, 1/4
   (7, 4, 0)      1/4, 1/3
   (7, 5, 0)      1/12, 1/5, 1/2
   (7, 6, 0)      1/6, 1
   (7, 8, 0)      1/15, 1
   (8, -7, 0)     1/15, 1
   (8, -5, 0)     1/5, 1/3
   (8, -3, 0)     1/5
   (8, 3, 0)      1/5
   (8, 5, 0)      1/5, 1/3
   (8, 7, 0)      1/15, 1
