40 Haar starts, each projected onto 145 axes  (plateau 141, record 183)
  start  0: Haar total 131 -> best projection  161 (depth-1  74) on axis (0, 3, 2)
  start  1: Haar total 119 -> best projection  161 (depth-1  80) on axis (0, 1, 1)
  start  2: Haar total 115 -> best projection  153 (depth-1  66) on axis (2, 0, 3)
  start  3: Haar total 111 -> best projection  161 (depth-1  74) on axis (0, 3, 2)
  start  4: Haar total 123 -> best projection  157 (depth-1  76) on axis (0, 1, 1)
  start  5: Haar total 119 -> best projection  149 (depth-1  64) on axis (3, 0, 2)
  start  6: Haar total 123 -> best projection  153 (depth-1  74) on axis (1, 0, 1)
  start  7: Haar total 119 -> best projection  161 (depth-1  80) on axis (0, 1, 1)
  start  8: Haar total 115 -> best projection  157 (depth-1  72) on axis (2, 0, 3)
  start  9: Haar total 101 -> best projection  161 (depth-1  72) on axis (1, 3, -1)
  start 10: Haar total 103 -> best projection  153 (depth-1  68) on axis (2, 0, -3)
  start 11: Haar total 135 -> best projection  157 (depth-1  68) on axis (0, 2, 1)
  start 12: Haar total 129 -> best projection  153 (depth-1  66) on axis (2, 2, 3)
  start 13: Haar total 115 -> best projection  161 (depth-1  72) on axis (3, -2, -2)
  start 14: Haar total 123 -> best projection  161 (depth-1  80) on axis (1, -1, 0)
  start 15: Haar total 111 -> best projection  161 (depth-1  74) on axis (3, 0, -2)
  start 16: Haar total 111 -> best projection  161 (depth-1  80) on axis (1, 0, -1)
  start 17: Haar total 119 -> best projection  161 (depth-1  72) on axis (0, 2, 1)
  start 18: Haar total 125 -> best projection  161 (depth-1  72) on axis (1, -1, 2)
  start 19: Haar total 123 -> best projection  161 (depth-1  74) on axis (2, -3, 0)
  start 20: Haar total 115 -> best projection  161 (depth-1  80) on axis (1, 1, 0)
  start 21: Haar total 127 -> best projection  157 (depth-1  72) on axis (0, 3, -2)
  start 22: Haar total 129 -> best projection  161 (depth-1  74) on axis (3, 0, -2)
  start 23: Haar total 123 -> best projection  153 (depth-1  66) on axis (3, 1, 1)
  start 24: Haar total 135 -> best projection  161 (depth-1  72) on axis (1, -1, 3)
  start 25: Haar total 109 -> best projection  153 (depth-1  66) on axis (0, 2, 3)
  start 26: Haar total 127 -> best projection  161 (depth-1  72) on axis (2, -1, 1)
  start 27: Haar total 111 -> best projection  157 (depth-1  70) on axis (3, 0, 2)
  start 28: Haar total 123 -> best projection  161 (depth-1  80) on axis (1, 0, -1)
  start 29: Haar total 99 -> best projection  161 (depth-1  80) on axis (1, 1, 0)
  start 30: Haar total 111 -> best projection  161 (depth-1  74) on axis (0, 3, 2)
  start 31: Haar total 123 -> best projection  153 (depth-1  68) on axis (3, -2, 0)
  start 32: Haar total 107 -> best projection  157 (depth-1  72) on axis (2, 0, -3)
  start 33: Haar total 111 -> best projection  153 (depth-1  66) on axis (0, 3, -2)
  start 34: Haar total 103 -> best projection  157 (depth-1  68) on axis (0, 3, -2)
  start 35: Haar total 113 -> best projection  157 (depth-1  70) on axis (3, 2, 2)
  start 36: Haar total 123 -> best projection  157 (depth-1  68) on axis (0, 2, -3)
  start 37: Haar total 103 -> best projection  161 (depth-1  80) on axis (1, 0, 1)
  start 38: Haar total 135 -> best projection  161 (depth-1  74) on axis (2, -3, 0)
  start 39: Haar total 113 -> best projection  161 (depth-1  72) on axis (3, 0, 2)

BEST from a Haar start via one projection: total 161, depth-1 74, axis (0, 3, 2)
1,0,0,0;923,0,-1023,-682;585,0,-372,-248;39,0,114,76
