shard 6/8: 63602 of 508818 configurations
  shard 6: d=5 400 counted, 0 still rejected, best 721 (81s)
  shard 6: d=5 800 counted, 0 still rejected, best 721 (163s)
  shard 6: d=5 1101 counted, 0 still rejected, best 721 (227s)
  shard 6: d=17 1501 counted, 0 still rejected, best 721 (309s)
  shard 6: d=17 1901 counted, 0 still rejected, best 721 (394s)
  shard 6: d=17 1923 counted, 0 still rejected, best 721 (399s)
  shard 6: d=6 2323 counted, 0 still rejected, best 723 (491s)
  shard 6: d=6 2518 counted, 0 still rejected, best 723 (537s)
  shard 6: d=481 2918 counted, 0 still rejected, best 723 (624s)
  shard 6: d=481 3097 counted, 0 still rejected, best 723 (664s)
  shard 6: d=145 3497 counted, 0 still rejected, best 723 (753s)
  shard 6: d=145 3653 counted, 0 still rejected, best 723 (790s)
  shard 6: d=465 4053 counted, 0 still rejected, best 723 (884s)
  shard 6: d=465 4069 counted, 0 still rejected, best 723 (888s)
  shard 6: d=161 4469 counted, 0 still rejected, best 723 (975s)
  shard 6: d=161 4483 counted, 0 still rejected, best 723 (978s)
  shard 6: d=41 4883 counted, 0 still rejected, best 723 (1067s)
  shard 6: d=41 4892 counted, 0 still rejected, best 723 (1069s)
  shard 6: d=13 5292 counted, 0 still rejected, best 727 (1158s)
  shard 6: d=13 5295 counted, 0 still rejected, best 727 (1159s)
  shard 6: d=2 5680 counted, 0 still rejected, best 727 (1256s)
  shard 6: d=73 6061 counted, 0 still rejected, best 727 (1345s)
  shard 6: d=3 6431 counted, 0 still rejected, best 727 (1438s)
  shard 6: d=15 6801 counted, 0 still rejected, best 727 (1520s)
  shard 6: d=19 7168 counted, 0 still rejected, best 727 (1604s)
  shard 6: d=115 7521 counted, 0 still rejected, best 727 (1720s)
  shard 6: d=10 7859 counted, 0 still rejected, best 727 (1814s)
  shard 6: d=21 8197 counted, 0 still rejected, best 727 (1903s)
  shard 6: d=7 8531 counted, 0 still rejected, best 727 (1988s)
  shard 6: d=177 8852 counted, 0 still rejected, best 727 (2068s)
  shard 6: d=281 9164 counted, 0 still rejected, best 727 (2145s)
  shard 6: d=57 9472 counted, 0 still rejected, best 727 (2221s)
  shard 6: d=61 9777 counted, 0 still rejected, best 727 (2294s)
  shard 6: d=85 10075 counted, 0 still rejected, best 727 (2363s)
  shard 6: d=137 10372 counted, 0 still rejected, best 727 (2432s)
  shard 6: d=313 10665 counted, 0 still rejected, best 727 (2501s)
  shard 6: d=241 10952 counted, 0 still rejected, best 727 (2568s)
  shard 6: d=265 11232 counted, 0 still rejected, best 727 (2634s)
  shard 6: d=505 11511 counted, 0 still rejected, best 727 (2710s)
  shard 6: d=201 11780 counted, 0 still rejected, best 727 (2791s)
  shard 6: d=30 12045 counted, 0 still rejected, best 727 (2855s)
  shard 6: d=521 12307 counted, 0 still rejected, best 727 (2917s)
  shard 6: d=1105 12567 counted, 0 still rejected, best 727 (2978s)
  shard 6: d=33 12824 counted, 0 still rejected, best 727 (3040s)
  shard 6: d=97 13077 counted, 0 still rejected, best 727 (3108s)
  shard 6: d=11 13326 counted, 0 still rejected, best 727 (3166s)
  shard 6: d=217 13575 counted, 0 still rejected, best 727 (3226s)
  shard 6: d=601 13824 counted, 0 still rejected, best 727 (3285s)
  shard 6: d=89 14072 counted, 0 still rejected, best 727 (3344s)
  shard 6: d=433 14316 counted, 0 still rejected, best 727 (3401s)
  shard 6: d=8761 14559 counted, 0 still rejected, best 727 (3468s)
  shard 6: d=193 14801 counted, 0 still rejected, best 727 (3912s)
  shard 6: d=58 15042 counted, 0 still rejected, best 727 (4128s)
  shard 6: d=901 15266 counted, 0 still rejected, best 727 (4176s)
  shard 6: d=721 15482 counted, 0 still rejected, best 727 (4228s)
  shard 6: d=149 15695 counted, 0 still rejected, best 727 (4280s)
  shard 6: d=785 15904 counted, 0 still rejected, best 727 (4334s)
  shard 6: d=8545 16112 counted, 0 still rejected, best 727 (4386s)
  shard 6: d=7369 16319 counted, 0 still rejected, best 727 (4438s)
  shard 6: d=9049 16526 counted, 0 still rejected, best 727 (4490s)
  shard 6: d=769 16732 counted, 0 still rejected, best 727 (4543s)
  shard 6: d=1201 16928 counted, 0 still rejected, best 727 (4593s)
  shard 6: d=34 17122 counted, 0 still rejected, best 727 (4642s)
