
=== (2a) C2:2+2+2  (three full-quat C2 orbits + aligned starts) ===
  C2:2+2+2         best= 677 evals=1502 restarts=25+101expl climb_r=2x10 (full-quat + aligned starts, 12 DOF)

=== (2b) D2:4+free2  (full-quat core + 2 free + aligned starts) ===
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[4, 1, 1, 1], [1, 0, 0, 0], [3, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[5, 2, 2, 2], [0, 1, 1, 1], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[5, 2, 2, 2], [3, 1, 1, 1], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[5, 2, 2, 2], [2, 0, 1, 1], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[5, 2, 2, 2], [2, 1, 0, 1], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[5, 2, 2, 2], [2, 1, 1, 0], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [-1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [1, -1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [1, 1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [1, 0, -1, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [1, 0, 1, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [1, 0, 0, -1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [1, 0, 0, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [0, 1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[5, 2, 2, 2], [0, 1, 1, 1], [0, 1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[5, 2, 2, 2], [3, 1, 1, 1], [0, 1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[5, 2, 2, 2], [2, 0, 1, 1], [0, 1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[5, 2, 2, 2], [2, 1, 0, 1], [0, 1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[5, 2, 2, 2], [2, 1, 1, 0], [0, 1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [-1, 1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [1, 1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [0, -1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [0, 1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [0, 1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [0, 1, -1, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [0, 1, 1, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [0, 1, 0, -1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [0, 1, 0, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[4, -1, 1, 1], [1, 0, 0, 0], [3, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[4, 1, -1, 1], [1, 0, 0, 0], [3, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[4, 1, 1, -1], [1, 0, 0, 0], [3, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[4, 1, 1, 1], [-1, 0, 0, 0], [3, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[4, 1, 1, 1], [1, 0, 0, 0], [3, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[4, 1, 1, 1], [1, 0, 0, 0], [3, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[4, 1, 1, 1], [1, 0, 0, 0], [3, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[4, 1, 1, 1], [1, -1, 0, 0], [3, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[4, 1, 1, 1], [1, 1, 0, 0], [3, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[4, 1, 1, 1], [1, 0, -1, 0], [3, 1, 1, 1]]
