theta: 45  alpha: 17  -> 34425 configs
P3 done: 32893 evals, 1532 degenerate, 0 cap-skips in 685.3s

top 40:
  total= 699  th1=(1/3) th2=(2/9)  R=[5, 2, 2, 2]  bd={0: 1, 1: 180, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 699  th1=(5/9) th2=(7/12)  R=[3, 1, 1, 1]  bd={0: 1, 1: 180, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 699  th1=(7/12) th2=(5/9)  R=[3, 1, 1, 1]  bd={0: 1, 1: 180, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 699  th1=(7/11) th2=(1/2)  R=[5, 2, 2, 2]  bd={0: 1, 1: 180, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(3/11) th2=(1/4)  R=[3, 1, 1, 1]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(2/7) th2=(5/12)  R=[5, 1, 1, 1]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(2/7) th2=(1/2)  R=[7, 3, 3, 3]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(1/3) th2=(2/11)  R=[5, 2, 2, 2]  bd={0: 1, 1: 174, 2: 210, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(1/3) th2=(1/4)  R=[5, 2, 2, 2]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(1/3) th2=(5/9)  R=[7, 3, 3, 3]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(4/11) th2=(3/7)  R=[2, 1, 1, 1]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(4/11) th2=(4/9)  R=[6, 1, 1, 1]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(3/8) th2=(2/5)  R=[2, 1, 1, 1]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(2/5) th2=(3/8)  R=[5, 1, 1, 1]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(5/12) th2=(2/7)  R=[2, 1, 1, 1]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(3/7) th2=(4/11)  R=[5, 1, 1, 1]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(3/7) th2=(5/11)  R=[2, 1, 1, 1]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(4/9) th2=(5/11)  R=[5, 1, 1, 1]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(4/9) th2=(6/11)  R=[5, 1, 1, 1]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(5/11) th2=(3/7)  R=[5, 1, 1, 1]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(5/11) th2=(4/9)  R=[2, 1, 1, 1]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(5/11) th2=(3/5)  R=[7, 2, 2, 2]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(1/2) th2=(2/7)  R=[4, 1, 1, 1]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(1/2) th2=(5/8)  R=[4, 1, 1, 1]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(6/11) th2=(4/9)  R=[2, 1, 1, 1]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(5/9) th2=(1/3)  R=[4, 1, 1, 1]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(4/7) th2=(3/5)  R=[3, 1, 1, 1]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 687  th1=(5/8) th2=(1/2)  R=[7, 3, 3, 3]  bd={0: 1, 1: 168, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 681  th1=(2/9) th2=(3/11)  R=[7, 2, 2, 2]  bd={0: 1, 1: 168, 2: 216, 3: 158, 4: 102, 5: 36, 6: 1}
  total= 681  th1=(2/9) th2=(3/10)  R=[7, 2, 2, 2]  bd={0: 1, 1: 162, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 681  th1=(2/9) th2=(1/3)  R=[7, 2, 2, 2]  bd={0: 1, 1: 162, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 681  th1=(3/11) th2=(2/7)  R=[3, 1, 1, 1]  bd={0: 1, 1: 162, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 681  th1=(3/11) th2=(3/10)  R=[3, 1, 1, 1]  bd={0: 1, 1: 162, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
  total= 681  th1=(3/11) th2=(4/11)  R=[7, 2, 2, 2]  bd={0: 1, 1: 162, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1}
