6000 configurations scanned, 775 contain at least one 13-pair

(corner13, edge13)      n   mean d1   mean d2 mean total
(0, 1)              172      49.9      55.8     129.8
(1, 0)              459      52.0      57.8     134.2
(0, 2)               28      59.4      49.1     131.9
(1, 1)               18      61.4      58.9     145.1
(2, 0)               21      53.2      51.1     126.3
(0, 3)                3      56.0      40.0     117.0
(1, 2)                3      73.3      53.3     151.7
(3, 0)               35      58.8      61.0     143.7
(6, 0)               27      72.0      48.0     145.0

the RECORD is (3,0): d1=92 d2=66 total=183

(corner13, edge13) best total seen
(0, 1)           157
(1, 0)           171
(0, 2)           157
(1, 1)           155
(2, 0)           169
(0, 3)           149
(1, 2)           157
(3, 0)           159
(6, 0)           145
